asb_control_id,feature_name,feature_supported_original,feature_enabled_by_default_original,status_2025,verdict_2025,azure_api_property,script_module,script_function,notes
LT-1,Microsoft Defender for Service — Azure Public IP,Not Applicable,Not Applicable,not_applicable_paas,still_not_applicable,N/A,publicip/lt_publicip,check_lt1_defender,No Defender for Public IP product; DDoS Protection Standard provides PIP-level attack detection
LT-4,Azure Resource Logs,True,False,implemented,implemented,diagnosticSettings.logs + metrics (DDoSProtectionNotifications / AllMetrics),publicip/lt_publicip,check_lt4_resource_logs,DiagnosticSettings with any enabled log (DDoSProtectionNotifications etc.) or metric → PASS
BR-1,Azure Backup,Not Applicable,Not Applicable,not_applicable_paas,still_not_applicable,N/A,publicip/br_publicip,check_br1_azure_backup,Azure Backup not supported for PIP; PIP recreatable from IaC; Static SKU retains IP on redeploy
BR-1,Service Native Backup Capability,Not Applicable,Not Applicable,not_applicable_paas,still_not_applicable,N/A,publicip/br_publicip,check_br1_native_backup,No native backup; use Static SKU + IaC in source control as compensating control
AM-2,Azure Policy Support,True,False,implemented,implemented,tags,publicip/am_publicip,check_am2_policy,Resource tags present → PASS proxy for policy governance; no tags → FAIL
AM-5,Microsoft Defender for Cloud — Adaptive Application Controls,Not Applicable,Not Applicable,not_applicable_paas,still_not_applicable,N/A,publicip/am_publicip,check_am5_defender_aac,PaaS network resource; AAC targets VMs and Arc-enabled servers only
PA-1,Local Admin Accounts,Not Applicable,Not Applicable,not_applicable_arm,still_not_applicable,N/A (no local admin concept),publicip/pa_publicip,check_pa1_local_admin,Managed network resource; no local admin; ARM RBAC with Entra ID is the only access model
PA-7,Azure RBAC for Data Plane,Not Applicable,Not Applicable,not_applicable_arm,still_not_applicable,N/A (no data plane),publicip/pa_publicip,check_pa7_rbac_data_plane,No data plane; management via ARM RBAC (Network Contributor role)
PA-8,Customer Lockbox,Not Applicable,Not Applicable,not_applicable_paas,still_not_applicable,N/A,publicip/pa_publicip,check_pa8_customer_lockbox,PIP not in Customer Lockbox supported services GA list
ES-1,EDR Solution,Not Applicable,Not Applicable,not_applicable_paas,still_not_applicable,N/A,publicip/es_publicip,check_es1_edr,PaaS; EDR deploys on VMs/containers using the PIP — not on PIP itself
ES-2,Anti-Malware Solution,Not Applicable,Not Applicable,not_applicable_paas,still_not_applicable,N/A,publicip/es_publicip,check_es2_antimalware,PaaS; antimalware not applicable to an IP address object
ES-3,Anti-Malware Solution Health Monitoring,Not Applicable,Not Applicable,not_applicable_paas,still_not_applicable,N/A,publicip/es_publicip,check_es3_antimalware_health,PaaS; no antimalware health monitoring concept for PIP
PV-3,Azure Automation State Configuration,Not Applicable,Not Applicable,not_applicable_paas,still_not_applicable,N/A,publicip/pv_publicip,check_pv3_automation_state_config,PaaS; Automation State Config targets VMs/Arc; no OS substrate on PIP
PV-3,Azure Policy Guest Configuration Agent,Not Applicable,Not Applicable,not_applicable_paas,still_not_applicable,N/A,publicip/pv_publicip,check_pv3_guest_config_agent,PaaS; guest config agent requires VM or Arc substrate — not deployable on PIP
PV-3,Custom Container Images,Not Applicable,Not Applicable,not_applicable_paas,still_not_applicable,N/A,publicip/pv_publicip,check_pv3_custom_container_images,PaaS; no container image concept applies to a PIP
PV-3,Custom VM Images,Not Applicable,Not Applicable,not_applicable_paas,still_not_applicable,N/A,publicip/pv_publicip,check_pv3_custom_vm_images,PaaS; no VM image concept applies to a PIP
PV-5,Vulnerability Assessment using Microsoft Defender,Not Applicable,Not Applicable,not_applicable_paas,still_not_applicable,N/A,publicip/pv_publicip,check_pv5_defender_va,PaaS; Defender VA targets VMs/containers/App Service/SQL — PIP not in supported list
PV-6,Azure Automation Update Management,Not Applicable,Not Applicable,not_applicable_paas,still_not_applicable,N/A,publicip/pv_publicip,check_pv6_update_management,PaaS; Update Management targets VMs; PIP has no OS or patch surface
