service,asb_control_id,feature_name,verdict_2025,mdfc_recommendation_id,mdfc_recommendation_display_name,mdfc_recommendation_url
apimanagement,IM-1,Local Authentication Methods for Data Plane Access,implemented,api-endpoints-in-azure-api-management-should-be-authenticated,API endpoints in Azure API Management should be authenticated,https://learn.microsoft.com/en-us/azure/defender-for-cloud/recommendations-reference-api
apimanagement,IM-3,Managed Identities,implemented,,,
apimanagement,BR-1,Service Native Backup Capability,implemented,,,
apimanagement,NS-1,Network Security Group Support,implemented,,,
apimanagement,NS-2,Azure Private Link,implemented,api-management-should-disable-public-network-access,API Management should disable public network access to the service configuration endpoints,https://learn.microsoft.com/en-us/azure/defender-for-cloud/recommendations-reference-api
apimanagement,LT-4,Azure Resource Logs,implemented,,,
apimanagement,IM-3,Service Principals,implemented,,,
apimanagement,NS-1,Virtual Network Integration,implemented,,,
appgateway,NS-1,Web Application Firewall,implemented,waf-should-be-enabled-for-application-gateway,Web application firewall (WAF) should be enabled for Application Gateway,https://learn.microsoft.com/en-us/azure/defender-for-cloud/recommendations-reference-networking
appgateway,NS-2,Azure Private Link,implemented,,,
appgateway,NS-2,Disable Public Network Access,implemented,,,
appgateway,DP-2,Monitor Anomalies and Threats Targeting Sensitive Data,now_applicable_native,,,
appgateway,DP-3,Encrypt Data in Transit — Frontend SSL Policy,implemented,,,
appgateway,DP-3,Encrypt Data in Transit — Backend TLS,implemented,,,
appgateway,DP-4,Encrypt Data at Rest with Platform-Managed Keys,implemented,,,
appgateway,DP-6,Manage Cryptographic Keys using Key Management Service,now_applicable_native,,,
appgateway,DP-7,Certificate Management using Azure Key Vault,now_applicable_native,,,
appgateway,IM-3,Use Azure AD Managed Identities for Azure Resource Authentication,implemented,,,
appgateway,IM-8,Restrict the Exposure of Credential and Secrets — Use Azure Key Vault,now_applicable_native,,,
appgateway,LT-4,Enable Logging for Azure Resources,implemented,diagnostic-logs-in-application-gateway-should-be-enabled,Diagnostic logs in Application Gateway should be enabled,https://learn.microsoft.com/en-us/azure/defender-for-cloud/recommendations-reference-networking
appgateway,AM-2,Use Only Approved Azure Services — Azure Policy Support,implemented,,,
appgateway,PA-8,Determine Access Process for Microsoft Support — Customer Lockbox,now_applicable_native,,,
attestation,IM-1,Azure AD Authentication Required for Data Plane Access,implemented,,,
attestation,AM-2,Azure Policy Support,implemented,,,
attestation,PA-7,Azure RBAC for Data Plane,implemented,,,
attestation,PA-8,Customer Lockbox,implemented,,,
attestation,DP-4,Data at Rest Encryption Using Platform Keys,implemented,,,
attestation,DP-3,Data in Transit Encryption,implemented,,,
attestation,NS-2,Disable Public Network Access,implemented,,,
attestation,IM-3,Managed Identities,implemented,,,
attestation,NS-2,Azure Private Link,implemented,,,
attestation,LT-4,Azure Resource Logs,implemented,,,
attestation,IM-3,Service Principals,implemented,,,
automation,IM-1,Azure AD Authentication Required for Data Plane Access,implemented,,,
automation,IM-8,Service Credential and Secrets Support Integration and Storage in Azure Key Vault,implemented,,,
automation,AM-2,Azure Policy Support,implemented,,,
automation,PA-7,Azure RBAC for Data Plane,implemented,,,
automation,DP-7,Certificate Management in Azure Key Vault,implemented,,,
automation,DP-5,Data at Rest Encryption Using CMK,implemented,,,
automation,DP-4,Data at Rest Encryption Using Platform Keys,implemented,,,
automation,DP-3,Data in Transit Encryption,implemented,,,
automation,NS-2,Disable Public Network Access,implemented,azure-automation-accounts-should-disable-public-network-access,Azure Automation accounts should disable public network access,https://learn.microsoft.com/en-us/azure/defender-for-cloud/recommendations-reference-networking
automation,DP-6,Key Management in Azure Key Vault,implemented,,,
automation,IM-1,Local Authentication Methods for Data Plane Access,implemented,,,
automation,IM-3,Managed Identities,implemented,automation-account-should-use-managed-identity,Automation account should use managed identity,https://learn.microsoft.com/en-us/azure/defender-for-cloud/recommendations-reference-identity-access
automation,NS-2,Azure Private Link,implemented,azure-automation-accounts-should-use-private-link,Azure Automation accounts should use private link,https://learn.microsoft.com/en-us/azure/defender-for-cloud/recommendations-reference-networking
automation,LT-4,Azure Resource Logs,implemented,diagnostic-logs-in-azure-automation-accounts-should-be-enabled,Diagnostic logs in Azure Automation accounts should be enabled,https://learn.microsoft.com/en-us/azure/defender-for-cloud/recommendations-reference-networking
automation,NS-1,Virtual Network Integration,implemented,,,
azuredns,LT-1,Microsoft Defender for DNS,implemented,microsoft-defender-for-dns-should-be-enabled,Microsoft Defender for DNS should be enabled,https://learn.microsoft.com/en-us/azure/defender-for-cloud/recommendations-reference-networking
azuredns,LT-4,Azure Resource Logs,implemented,,,
azuredns,AM-2,Use Only Approved Azure Services — Azure Policy,implemented,,,
azuredns,PA-7,Limit Access via RBAC — DNS Zone Management,conditional,,,
azurefirewall,NS-1,Virtual Network Integration,implemented,,,
azurefirewall,NS-1,Threat Intelligence Mode,implemented,,,
azurefirewall,NS-1,Intrusion Detection and Prevention System (IDPS),conditional,,,
azurefirewall,DP-3,Data in Transit Encryption — TLS Inspection,conditional,,,
azurefirewall,DP-4,Data at Rest Encryption Using Platform Keys,implemented,,,
azurefirewall,DP-6,Key Management in Azure Key Vault,now_applicable_native,,,
azurefirewall,DP-7,Certificate Management in Azure Key Vault,implemented,,,
azurefirewall,IM-3,Managed Identities,now_applicable_native,,,
azurefirewall,IM-8,Service Credential and Secrets Support Integration and Storage in Azure Key Vault,now_applicable_native,,,
azurefirewall,LT-4,Azure Resource Logs,implemented,resource-logs-in-azure-firewall-should-be-enabled,Resource logs in Azure Firewall should be enabled,https://learn.microsoft.com/en-us/azure/defender-for-cloud/recommendations-reference-networking
azurefirewall,AM-2,Azure Policy Support,implemented,,,
azurefirewall,NS-6,"IDPS — Intrusion Detection and Prevention System (ASB v2 gap, no v3 equivalent)",conditional,,,
backup,IM-8,Service Credential and Secrets Support Integration and Storage in Azure Key Vault,implemented,,,
backup,BR-1,Azure Backup,implemented,,,
backup,BR-1,Azure Backup,implemented,,,
backup,AM-2,Azure Policy Support,implemented,,,
backup,DP-7,Certificate Management in Azure Key Vault,implemented,,,
backup,DP-5,Data at Rest Encryption Using CMK,implemented,,,
backup,DP-4,Data at Rest Encryption Using Platform Keys,implemented,,,
backup,DP-3,Data in Transit Encryption,implemented,,,
backup,DP-2,Data Leakage/Loss Prevention,implemented,,,
backup,NS-2,Disable Public Network Access,implemented,,,
backup,DP-6,Key Management in Azure Key Vault,implemented,,,
backup,IM-3,Managed Identities,now_applicable_native,,,
backup,NS-2,Azure Private Link,implemented,,,
backup,LT-4,Azure Resource Logs,implemented,,,
bastion,NS-1,Network Security Group Support,implemented,,,
bastion,NS-1,Virtual Network Integration,implemented,,,
bastion,NS-2,Disable Public Network Access,conditional,,,
bastion,DP-3,Data in Transit Encryption,implemented,,,
bastion,DP-6,Key Management in Azure Key Vault,implemented,,,
bastion,IM-1,Azure AD Authentication Required for Data Plane Access,implemented,,,
bastion,IM-8,Service Credential and Secrets Support Integration in Azure Key Vault,implemented,,,
bastion,LT-4,Azure Resource Logs,implemented,resource-logs-in-azure-bastion-should-be-enabled,Resource logs in Azure Bastion should be enabled,https://learn.microsoft.com/en-us/azure/defender-for-cloud/recommendations-reference-networking
bastion,AM-2,Azure Policy Support,implemented,,,
botservice,IM-1,Azure AD Authentication Required for Data Plane Access,implemented,,,
botservice,IM-8,Service Credential and Secrets Support Integration and Storage in Azure Key Vault,implemented,,,
botservice,AM-2,Azure Policy Support,implemented,,,
botservice,DP-5,Data at Rest Encryption Using CMK,implemented,,,
botservice,DP-4,Data at Rest Encryption Using Platform Keys,implemented,,,
botservice,DP-3,Data in Transit Encryption,implemented,,,
botservice,NS-2,Disable Public Network Access,implemented,,,
botservice,DP-6,Key Management in Azure Key Vault,implemented,,,
botservice,IM-1,Local Authentication Methods for Data Plane Access,implemented,,,
botservice,IM-3,Managed Identities,implemented,,,
botservice,NS-1,Network Security Group Support,implemented,,,
botservice,NS-2,Azure Private Link,implemented,,,
botservice,LT-4,Azure Resource Logs,implemented,,,
botservice,IM-3,Service Principals,implemented,,,
botservice,NS-1,Virtual Network Integration,implemented,,,
cloudshell,DP-3,Data in Transit Encryption,implemented,,,
cloudshell,NS-1,Virtual Network Integration,implemented,,,
customerlockbox,IM-1,Azure AD Authentication Required for Data Plane Access,implemented,,,
customerlockbox,AM-2,Azure Policy Support,now_applicable_native,,,
customerlockbox,IM-7,Conditional Access for Data Plane,now_applicable_native,,,
customerlockbox,PA-8,Customer Lockbox,implemented,,,
customerlockbox,DP-3,Data in Transit Encryption,now_applicable_native,,,
customerlockbox,LT-4,Azure Resource Logs,now_applicable_native,,,
ddosprotection,NS-1,Virtual Network Integration — DDoS Plan VNet Coverage,implemented,,,
ddosprotection,LT-4,Azure Resource Logs,implemented,,,
ddosprotection,AM-2,Azure Policy Support,implemented,,,
firewallmanager,DP-3,Data in Transit Encryption,implemented,,,
firewallmanager,DP-4,Data at Rest Encryption Using Platform Keys,implemented,,,
firewallmanager,DP-7,Certificate Management in Azure Key Vault,implemented,,,
firewallmanager,AM-2,Azure Policy Support,implemented,,,
frontdoor,NS-2,Native IP Filtering via WAF Policy,implemented,azure-front-door-classic-should-have-waf-enabled,Azure Front Door should disable public network access,https://learn.microsoft.com/en-us/azure/defender-for-cloud/recommendations-reference-networking
frontdoor,DP-3,Data in Transit Encryption,implemented,,,
frontdoor,DP-4,Data at Rest Encryption Using Platform Keys,implemented,,,
frontdoor,DP-7,Certificate Management in Azure Key Vault,implemented,,,
frontdoor,IM-8,Restrict Credential/Secret Exposure — Azure Key Vault,implemented,,,
frontdoor,LT-4,Azure Resource Logs,implemented,,,
frontdoor,AM-2,Use Only Approved Azure Services — Azure Policy,implemented,,,
frontdoor,PA-7,Limit Access via RBAC — AFD Management,conditional,,,
intelligentrecommendations,IM-1,Azure AD Authentication Required for Data Plane Access,implemented,,,
intelligentrecommendations,IM-1,Azure AD Authentication Required for Data Plane Access,implemented,,,
intelligentrecommendations,DP-4,Data at Rest Encryption Using Platform Keys,implemented,,,
intelligentrecommendations,DP-3,Data in Transit Encryption,implemented,,,
intelligentrecommendations,IM-3,Service Principals,implemented,,,
intelligentrecommendations,IM-3,Service Principals,implemented,,,
lighthouse,AM-2,Azure Policy Support,implemented,,,
lighthouse,DP-4,Data at Rest Encryption Using Platform Keys,implemented,,,
lighthouse,DP-3,Data in Transit Encryption,implemented,,,
lighthouse,LT-4,Azure Resource Logs,now_applicable_native,,,
networkwatcher,DP-3,Data in Transit Encryption,implemented,,,
networkwatcher,DP-4,Data at Rest Encryption Using Platform Keys,implemented,,,
networkwatcher,IM-1,Azure AD Authentication Required for Data Plane Access,implemented,,,
networkwatcher,AM-2,Azure Policy Support,implemented,,,
networkwatcher,PA-7,Azure RBAC for Data Plane,implemented,,,
privatelink,NS-1,Network Security Group Support,implemented,,,
privatelink,NS-1,Virtual Network Integration,implemented,,,
privatelink,NS-2,Azure Private Link,implemented,,,
privatelink,NS-2,Disable Public Network Access,implemented,,,
privatelink,AM-2,Azure Policy Support,implemented,,,
publicip,NS-1,Standard SKU (Secure-by-Default),implemented,,,
publicip,NS-1,Virtual Network Integration — IP Attachment Status,implemented,,,
publicip,LT-4,Azure Resource Logs,implemented,,,
publicip,AM-2,Azure Policy Support,implemented,,,
redis,IM-1,Azure AD Authentication Required for Data Plane Access,now_applicable_native,,,
redis,AM-2,Azure Policy Support,implemented,,,
redis,PA-7,Azure RBAC for Data Plane,now_applicable_native,,,
redis,IM-7,Conditional Access for Data Plane,conditional,,,
redis,DP-5,Data at Rest Encryption Using CMK,conditional,,,
redis,DP-4,Data at Rest Encryption Using Platform Keys,implemented,,,
redis,DP-3,Data in Transit Encryption,implemented,,,
redis,NS-2,Disable Public Network Access,implemented,azure-cache-for-redis-should-disable-public-network-access,Azure Cache for Redis should disable public network access,https://learn.microsoft.com/en-us/azure/defender-for-cloud/recommendations-reference-data
redis,DP-6,Key Management in Azure Key Vault,conditional,,,
redis,IM-1,Local Authentication Methods for Data Plane Access,implemented,,,
redis,IM-3,Managed Identities,now_applicable_native,,,
redis,NS-1,Network Security Group Support,implemented,,,
redis,NS-2,Azure Private Link,implemented,azure-cache-for-redis-should-use-private-link,Azure Cache for Redis should use private link,https://learn.microsoft.com/en-us/azure/defender-for-cloud/recommendations-reference-data
redis,LT-4,Azure Resource Logs,implemented,resource-logs-in-azure-cache-for-redis-should-be-enabled,Resource logs in Azure Cache for Redis should be enabled,https://learn.microsoft.com/en-us/azure/defender-for-cloud/recommendations-reference-data
redis,IM-3,Service Principals,now_applicable_native,,,
redis,NS-1,Virtual Network Integration,implemented,,,
servicebus,NS-1,Network Security Group Support,implemented,,,
servicebus,NS-1,Virtual Network Integration,implemented,,,
servicebus,NS-2,Azure Private Link,implemented,azure-service-bus-namespaces-should-use-private-link,Azure Service Bus namespaces should use private link,https://learn.microsoft.com/en-us/azure/defender-for-cloud/recommendations-reference-data
servicebus,NS-2,Disable Public Network Access,implemented,azure-service-bus-namespaces-should-disable-public-network-access,Azure Service Bus namespaces should disable public network access,https://learn.microsoft.com/en-us/azure/defender-for-cloud/recommendations-reference-data
servicebus,DP-2,Monitor Anomalies and Threats Targeting Sensitive Data,now_applicable_native,,,
servicebus,DP-3,Encrypt Data in Transit,implemented,,,
servicebus,DP-4,Encrypt Data at Rest with Platform-Managed Keys,implemented,,,
servicebus,DP-5,Encrypt Data at Rest with Customer-Managed Key,implemented,,,
servicebus,DP-6,Manage Cryptographic Keys using Key Management Service,now_applicable_native,,,
servicebus,DP-7,Certificate Management using Azure Key Vault,conditional,,,
servicebus,IM-1,Use Centralized Identity and Authentication System — Disable Local Auth,now_applicable_native,service-bus-namespaces-should-have-authentication-methods-restricted,Service Bus namespaces should have local authentication methods disabled,https://learn.microsoft.com/en-us/azure/defender-for-cloud/recommendations-reference-identity-access
servicebus,IM-1,Use Centralized Identity and Authentication System — AAD Auth Required,now_applicable_native,service-bus-namespaces-should-have-authentication-methods-restricted,Service Bus namespaces should have local authentication methods disabled,https://learn.microsoft.com/en-us/azure/defender-for-cloud/recommendations-reference-identity-access
servicebus,IM-3,Use Azure AD Managed Identities for Azure Resource Authentication,implemented,,,
servicebus,IM-3,Use Azure AD Service Principals for Azure Resource Authentication,implemented,,,
servicebus,IM-8,Restrict the Exposure of Credential and Secrets — Use Azure Key Vault,now_applicable_native,,,
servicebus,LT-4,Enable Logging for Azure Resources,implemented,diagnostic-logs-in-service-bus-should-be-enabled,Diagnostic logs in Service Bus should be enabled,https://learn.microsoft.com/en-us/azure/defender-for-cloud/recommendations-reference-data
servicebus,AM-2,Use Only Approved Azure Services — Azure Policy Support,implemented,,,
servicebus,PA-1,Separate and Limit Highly Privileged/Administrative Users — Disable Local Admin,now_applicable_native,,,
servicebus,PA-7,Follow Just Enough Administration Principle — RBAC for Data Plane,now_applicable_native,,,
servicebus,PA-8,Determine Access Process for Microsoft Support — Customer Lockbox,now_applicable_native,,,
siterecovery,IM-1,Azure AD Authentication Required for Data Plane Access,implemented,,,
siterecovery,AM-2,Azure Policy Support,implemented,,,
siterecovery,PA-7,Azure RBAC for Data Plane,implemented,,,
siterecovery,DP-7,Certificate Management in Azure Key Vault,implemented,,,
siterecovery,DP-5,Data at Rest Encryption Using CMK,implemented,,,
siterecovery,DP-4,Data at Rest Encryption Using Platform Keys,implemented,,,
siterecovery,DP-3,Data in Transit Encryption,implemented,,,
siterecovery,DP-6,Key Management in Azure Key Vault,implemented,,,
siterecovery,BR-1,Service Native Backup Capability,implemented,,,
siterecovery,NS-2,Azure Private Link,implemented,,,
siterecovery,LT-4,Azure Resource Logs,implemented,,,
siterecovery,IM-3,Service Principals,implemented,,,
spatialanchors,IM-1,Azure AD Authentication Required for Data Plane Access,implemented,,,
spatialanchors,AM-2,Azure Policy Support,implemented,,,
spatialanchors,PA-7,Azure RBAC for Data Plane,implemented,,,
spatialanchors,DP-4,Data at Rest Encryption Using Platform Keys,implemented,,,
spatialanchors,DP-3,Data in Transit Encryption,implemented,,,
spatialanchors,,Local Authentication Methods for Data Plane Access,implemented,,,
spatialanchors,IM-1,Local Authentication Methods for Data Plane Access,implemented,,,
spatialanchors,IM-3,Service Principals,implemented,,,
universalprint,IM-1,Azure AD Authentication Required for Data Plane Access,implemented,,,
universalprint,PA-7,Azure RBAC for Data Plane,implemented,,,
universalprint,DP-5,Data at Rest Encryption Using CMK,implemented,,,
universalprint,DP-4,Data at Rest Encryption Using Platform Keys,implemented,,,
universalprint,DP-3,Data in Transit Encryption,implemented,,,
vpngateway,NS-1,Network Security Group Support,implemented,,,
vpngateway,NS-1,Virtual Network Integration,implemented,,,
vpngateway,DP-3,Data in Transit Encryption,implemented,,,
vpngateway,DP-7,Certificate Management in Azure Key Vault,now_applicable_native,,,
vpngateway,IM-1,Azure AD Authentication Required for Data Plane Access,implemented,,,
vpngateway,IM-3,Managed Identities,now_applicable_native,,,
vpngateway,IM-7,Conditional Access for Data Plane,conditional,,,
vpngateway,IM-8,Service Credential and Secrets Support Integration in Azure Key Vault,now_applicable_native,,,
vpngateway,LT-4,Azure Resource Logs,now_applicable_native,diagnostic-logs-in-vpn-gateway-should-be-enabled,Diagnostic logs in VPN Gateway should be enabled,https://learn.microsoft.com/en-us/azure/defender-for-cloud/recommendations-reference-networking
vpngateway,AM-2,Azure Policy Support,implemented,,,
vpngateway,PA-7,Azure RBAC for Data Plane,implemented,,,
waf,NS-1,Network Security Group Support,implemented,web-application-firewall-waf-should-be-enabled,Web application firewall (WAF) should be enabled,https://learn.microsoft.com/en-us/azure/defender-for-cloud/recommendations-reference-networking
waf,NS-1,Virtual Network Integration,implemented,web-application-firewall-waf-should-be-enabled,Web application firewall (WAF) should be enabled,https://learn.microsoft.com/en-us/azure/defender-for-cloud/recommendations-reference-networking
waf,NS-2,Azure Private Link,implemented,,,
waf,NS-2,Disable Public Network Access,implemented,,,
waf,DP-1,Sensitive Data Discovery and Classification,implemented,,,
waf,DP-3,Data in Transit Encryption,implemented,,,
waf,DP-7,Certificate Management in Azure Key Vault,implemented,,,
waf,LT-1,Microsoft Defender for Service,implemented,,,
waf,LT-4,Azure Resource Logs,implemented,,,
waf,AM-2,Azure Policy Support,implemented,,,
