service,asb_control_id,feature_name,feature_supported_original,feature_enabled_by_default_original,status_2025,verdict_2025,azure_api_property,script_module,script_function,notes,severity,blast_radius,risk_rank
apimanagement,IM-1,Local Authentication Methods for Data Plane Access,True,False,implemented,implemented,Microsoft.ApiManagement/service/subscriptions,,,LIVE-DIRECT: API Management supports local subscription key authentication; implement alongside AAD/OAuth; disable local auth where enterprise SSO required.,High,Wide,6
apimanagement,IM-3,Managed Identities,True,False,implemented,implemented,Microsoft.ApiManagement/service/identity,,,"LIVE-DIRECT: API Management supports system-assigned and user-assigned managed identities for accessing Key Vault, backends, and other Azure services.",High,Wide,6
apimanagement,NS-1,Network Security Group Support,True,False,implemented,implemented,Microsoft.ApiManagement/service/virtualNetworkConfiguration,,,LIVE-DIRECT: API Management VNet integration (internal/external mode) supports NSG on the delegated subnet.,High,Wide,6
apimanagement,NS-2,Azure Private Link,True,False,implemented,implemented,Microsoft.ApiManagement/service/privateEndpointConnections,,,LIVE-DIRECT: Azure API Management supports Private Endpoints for inbound management plane and data plane access.,High,Wide,6
apimanagement,LT-4,Azure Resource Logs,True,False,implemented,implemented,Microsoft.ApiManagement/service/diagnostics,,,"LIVE-DIRECT: API Management supports diagnostic logs (GatewayLogs, WebSocketConnectionLogs) via Azure Monitor / Log Analytics.",High,Wide,6
apimanagement,IM-3,Service Principals,True,False,implemented,implemented,Microsoft.ApiManagement/service/identity,,,LIVE-DIRECT: API Management managed identity acts as service principal for AAD-based resource access; assign RBAC roles to the identity.,High,Wide,6
apimanagement,NS-1,Virtual Network Integration,True,False,implemented,implemented,Microsoft.ApiManagement/service/virtualNetworkConfiguration,,,LIVE-DIRECT: API Management supports VNet injection (internal/external mode) for full network isolation and private connectivity.,High,Wide,6
appgateway,NS-1,Web Application Firewall,True,False,implemented,implemented,webApplicationFirewallConfiguration.enabled+firewallMode / firewallPolicy,appgateway/ns_appgateway,check_ns1_waf,WAF inline Prevention mode OR firewall_policy linked (WAF v2) → PASS; Detection mode → FAIL; no WAF → FAIL,High,Wide,6
appgateway,NS-2,Azure Private Link,True,False,implemented,implemented,privateLinkConfigurations,appgateway/ns_appgateway,check_ns2_private_link,private_link_configurations non-empty → PASS (Private Link active on frontend),High,Wide,6
appgateway,NS-2,Disable Public Network Access,True,False,implemented,implemented,frontendIPConfigurations[*].publicIPAddress,appgateway/ns_appgateway,check_ns2_disable_public_access,No public_ip_address in any frontend_ip_configurations → PASS (private-only deployment),High,Wide,6
appgateway,IM-3,Use Azure AD Managed Identities for Azure Resource Authentication,True,False,implemented,implemented,identity.type,appgateway/im_appgateway,check_im3_managed_identities,identity present (SystemAssigned/UserAssigned) → PASS; used for KV certificate retrieval,High,Wide,6
appgateway,LT-4,Enable Logging for Azure Resources,True,False,implemented,implemented,DiagnosticSettings.logs[*].enabled,appgateway/lt_appgateway,check_lt4_resource_logs,MonitorManagementClient.diagnostic_settings.list(gw.id); any enabled log → PASS; key: AccessLog + FirewallLog,High,Wide,6
attestation,PA-7,Azure RBAC for Data Plane,True,False,implemented,implemented,Microsoft.Attestation/attestationProviders/*/read (RBAC assignment),,,LIVE-DIRECT: Azure RBAC controls who can create/manage attestation providers; check RBAC assignments on resource; Attestation Contributor/Reader built-in roles,High,Wide,6
attestation,LT-4,Azure Resource Logs,True,False,implemented,implemented,DiagnosticSettings(attestationProvider.id).logs,,,LIVE-DIRECT: Azure Attestation emits audit logs via Diagnostic Settings; check AuditEvent log category enabled,High,Wide,6
automation,NS-2,Disable Public Network Access,True,False,implemented,implemented,automationAccount.properties.publicNetworkAccess,,,LIVE-DIRECT: Azure Automation Account supports disabling public network access; check properties.publicNetworkAccess == Disabled,High,Wide,6
automation,IM-1,Local Authentication Methods for Data Plane Access,True,False,implemented,implemented,N/A — LIVE→behavior check,,,LIVE-DIRECT: Azure Automation supports local credential assets (stored username/password); customers should prefer Managed Identity over stored credentials; review credential asset usage for least-privilege compliance,High,Wide,6
automation,NS-2,Azure Private Link,True,False,implemented,implemented,automationAccount.properties.privateEndpointConnections,,,LIVE-DIRECT: Azure Automation Account supports private endpoints for webhook and management API traffic; check properties.privateEndpointConnections length > 0,High,Wide,6
automation,LT-4,Azure Resource Logs,True,False,implemented,implemented,DiagnosticSettings(automationAccount.id).logs,,,"LIVE-DIRECT: Azure Automation emits diagnostic logs (JobLogs, JobStreams, DscNodeStatus, AuditEvent); check DiagnosticSettings for at least one log category enabled",High,Wide,6
automation,NS-1,Virtual Network Integration,True,False,implemented,implemented,automationAccount.properties.privateEndpointConnections,,,LIVE-DIRECT: Azure Automation integrates with customer VNet via Hybrid Runbook Worker Group; check hybridRunbookWorkerGroup configured for private network execution; private endpoints also supported for PaaS control plane,High,Wide,6
azuredns,LT-1,Microsoft Defender for DNS,True,False,implemented,implemented,pricing.pricing_tier,azuredns/lt_azuredns,check_lt1_defender,Subscription-level check via SecurityCenter.pricings.get(scope='/subscriptions/{sub}' pricing_name='Dns'); Standard→PASS; Free→FAIL; handle ResourceNotFoundError (plan may be deprecated/merged in newer tenants),High,Wide,6
azuredns,LT-4,Azure Resource Logs,True,False,implemented,implemented,diagnostic_settings,azuredns/lt_azuredns,check_lt4_resource_logs,DiagnosticSettings on zone.id via MonitorManagementClient; key categories: QueryVolume/VirtualNetworkLinkWithRegistration/VirtualNetworkLink; any enabled log→PASS,High,Wide,6
azuredns,PA-7,Limit Access via RBAC — DNS Zone Management,True,Customer,conditional,conditional,zone.id (ARM RBAC),azuredns/pa_azuredns,check_pa7_rbac_data_plane,ARM RBAC enforced for DNS zone management (DNS Zone Contributor role); DNS query plane for Public zones is unauthenticated; customer must assign correct roles; UNKNOWN static,High,Wide,6
azurefirewall,NS-1,Threat Intelligence Mode,True,False,implemented,implemented,threatIntelMode,azurefirewall/ns_azurefirewall,check_ns1_threat_intel,threatIntelMode='Deny' → PASS; 'Alert' → FAIL (logs only); 'Off' → FAIL,High,Wide,6
azurefirewall,NS-1,Intrusion Detection and Prevention System (IDPS),True,False,conditional,conditional,sku.tier + idpsSettings.mode,azurefirewall/ns_azurefirewall,check_ns1_idps,Premium SKU + idpsSettings.mode='Deny' → PASS; Standard SKU → FAIL (IDPS not available); Premium + Alert/Off → FAIL,High,Wide,6
azurefirewall,LT-4,Azure Resource Logs,True,False,implemented,implemented,diagnosticSettings.logs[AzureFirewallApplicationRule + AzureFirewallNetworkRule],azurefirewall/lt_azurefirewall,check_lt4_resource_logs,DiagnosticSettings with AzureFirewallApplicationRule or AzureFirewallNetworkRule log category enabled → PASS,High,Wide,6
azurefirewall,NS-6,"IDPS — Intrusion Detection and Prevention System (ASB v2 gap, no v3 equivalent)",False,Not Applicable,conditional,conditional,Microsoft.Network/azureFirewalls/sku.tier,,,"conditional: ASB v2 NS-6 IDPS control has no direct MCSB v3 equivalent; Azure Firewall Premium tier includes signature-based IDPS (intrusion detection and prevention); Standard tier = gap. Check azureFirewalls/sku.tier — Premium=implemented, Standard=gap. Source: https://learn.microsoft.com/en-us/azure/firewall/premium-features",High,Wide,6
backup,IM-8,Service Credential and Secrets Support Integration and Storage in Azure Key Vault,True,False,implemented,implemented,vault.properties.encryption.keyVaultProperties.keyUri,,,LIVE-DIRECT: Azure Backup supports Key Vault for CMK encryption key management; check vault.properties.encryption.keyVaultProperties.keyUri is set,High,Wide,6
backup,NS-2,Disable Public Network Access,True,False,implemented,implemented,vault.properties.publicNetworkAccess,,,LIVE-DIRECT: Recovery Services Vault supports disabling public network access; check properties.publicNetworkAccess == Disabled,High,Wide,6
backup,NS-2,Azure Private Link,True,False,implemented,implemented,vault.properties.privateEndpointConnections,,,LIVE-DIRECT: Recovery Services Vault supports private endpoints for backup and restore traffic; check properties.privateEndpointConnections length > 0,High,Wide,6
backup,LT-4,Azure Resource Logs,True,False,implemented,implemented,DiagnosticSettings(vault.id).logs,,,"LIVE-DIRECT: Recovery Services Vault emits diagnostic logs (AzureBackupReport, CoreAzureBackup, AddonAzureBackupJobs etc.); check DiagnosticSettings for at least one log category enabled",High,Wide,6
bastion,NS-1,Network Security Group Support,True,False,implemented,implemented,subnet(AzureBastionSubnet).network_security_group,bastion/ns_bastion,check_ns1_nsg,LIVE-DIRECT: check NSG existence on AzureBastionSubnet; NSG present → PASS; absent → FAIL; do NOT validate individual rules (prescriptive); cross-ref via subnets.get(rg vnet AzureBastionSubnet) parsed from bastion.ip_configurations[0].subnet.id,High,Wide,6
bastion,NS-1,Virtual Network Integration,True,False,implemented,implemented,subnet_name + subnet.address_prefix,bastion/ns_bastion,check_ns1_vnet,LIVE-DIRECT: subnet_name == 'AzureBastionSubnet' AND CIDR prefix <= /26; Azure enforces name but not always size; PASS if both conditions met; FAIL if wrong name or too small (/27 etc),High,Wide,6
bastion,NS-2,Disable Public Network Access,False,Not Applicable,conditional,conditional,Microsoft.Network/bastionHosts/sku.name,bastion/ns_bastion,check_ns2_disable_public,"conditional: Azure Bastion Private-only deployment (Premium SKU) eliminates public IP requirement. Standard tier still requires public IP. Check bastionHosts.sku.name — Premium=conditional, Standard=public required. Source: https://learn.microsoft.com/en-us/azure/bastion/private-only-deployment",High,Wide,6
bastion,IM-8,Service Credential and Secrets Support Integration in Azure Key Vault,True,False,implemented,implemented,N/A — LIVE→UNKNOWN (no ARM property),bastion/im_bastion,check_im8_keyvault_secrets,LIVE→UNKNOWN: SSH private keys can be stored in KV for Bastion native client SSH sessions; connection-time behavioral pattern; no ARM property on BastionHost to inspect; same as DP-6,High,Wide,6
bastion,LT-4,Azure Resource Logs,True,False,implemented,implemented,DiagnosticSettings(bastion.id).logs[BastionAuditLogs],bastion/lt_bastion,check_lt4_resource_logs,LIVE-DIRECT: BastionAuditLogs records user identity/source IP/target VM/session duration; check category 'BastionAuditLogs' enabled in DiagSettings; SDK: azure-mgmt-monitor,High,Wide,6
botservice,IM-1,Azure AD Authentication Required for Data Plane Access,True,False,implemented,implemented,N/A — microsoft_managed PASS static,,,microsoft_managed: Azure Bot Service enforces AAD authentication for management plane; data plane channel auth uses AAD tokens,High,Wide,6
botservice,IM-8,Service Credential and Secrets Support Integration and Storage in Azure Key Vault,True,False,implemented,implemented,N/A — LIVE→UNKNOWN (no ARM property),,,LIVE→UNKNOWN: Bot Service credentials (MSA app secret) can be stored in Key Vault; no ARM property on bot resource to verify KV usage; behavioral pattern,High,Wide,6
botservice,NS-2,Disable Public Network Access,True,False,implemented,implemented,botService.properties.publicNetworkAccess,,,LIVE-DIRECT: check properties.publicNetworkAccess == Disabled,High,Wide,6
botservice,IM-1,Local Authentication Methods for Data Plane Access,True,False,implemented,implemented,N/A — LIVE→UNKNOWN,,,LIVE→UNKNOWN: Bot Service supports local auth methods (MSA password); customers should prefer MI over passwords; no ARM property to verify local auth disabled,High,Wide,6
botservice,IM-3,Managed Identities,True,False,implemented,implemented,botService.properties.msaAppMSIResourceId,,,LIVE-DIRECT: Bot Service supports system-assigned MI for downstream service calls; check identity.type == SystemAssigned,High,Wide,6
botservice,NS-1,Network Security Group Support,True,False,implemented,implemented,botService.properties.endpoint,,,LIVE-DIRECT: Bot Service can be deployed with VNet integration; NSG governs traffic; check if privateEndpointConnections present or endpoint is internal,High,Wide,6
botservice,NS-2,Azure Private Link,True,False,implemented,implemented,botService.properties.privateEndpointConnections,,,LIVE-DIRECT: Bot Service supports private endpoints via Direct Line App Service extension; check privateEndpointConnections length > 0,High,Wide,6
botservice,LT-4,Azure Resource Logs,True,False,implemented,implemented,DiagnosticSettings(botService.id).logs,,,LIVE-DIRECT: Bot Service emits BotRequest diagnostic logs; check DiagnosticSettings for BotRequest category enabled,High,Wide,6
botservice,IM-3,Service Principals,True,False,implemented,implemented,botService.properties.msaAppId,,,LIVE-DIRECT: Bot Service authenticates via SP (MSA App ID); check properties.msaAppId is set and not empty,High,Wide,6
botservice,NS-1,Virtual Network Integration,True,False,implemented,implemented,botService.properties.endpoint,,,LIVE-DIRECT: Bot Service supports VNet integration via App Service hosting; check endpoint is internal or private endpoint exists,High,Wide,6
cloudshell,NS-1,Virtual Network Integration,True,False,implemented,implemented,cloudShell.properties.networkProfile.subnetId,,,LIVE-DIRECT: Cloud Shell supports VNet injection (isolated mode) via linked storage and VNet configuration; check networkProfile.subnetId is set,High,Wide,6
customerlockbox,PA-8,Customer Lockbox,True,False,implemented,implemented,subscription.properties.features.customerLockbox,,,LIVE-DIRECT: Customer Lockbox IS the PA-8 control; check Lockbox is enabled at subscription level; approval workflow enforces least-privilege for Microsoft support access requests; verify customerLockbox feature enabled via Security Center API,High,Wide,6
ddosprotection,NS-1,Virtual Network Integration — DDoS Plan VNet Coverage,True,False,implemented,implemented,virtual_networks,ddosprotection/ns_ddosprotection,check_ns1_vnet_coverage,virtual_networks list non-empty → plan protecting VNets → PASS; empty list → plan exists but not protecting anything → FAIL (paying for unused protection),High,Wide,6
ddosprotection,LT-4,Azure Resource Logs,True,False,implemented,implemented,diagnosticSettings.logs + metrics,ddosprotection/lt_ddosprotection,check_lt4_resource_logs,DiagnosticSettings on plan with any enabled log or metric → PASS; primary DDoS telemetry (flow logs/notifications) also on Public IP resources,High,Wide,6
frontdoor,IM-8,Restrict Credential/Secret Exposure — Azure Key Vault,True,False,implemented,implemented,frontend_endpoints[*].custom_https_configuration.certificate_source,frontdoor/im_frontdoor,check_im8_keyvault_secrets,Live: same KV cert path as DP-7; AzureKeyVault cert source → PASS (KV manages cert lifecycle); no HTTPS or no KV → FAIL,High,Wide,6
frontdoor,LT-4,Azure Resource Logs,True,False,implemented,implemented,diagnostic_settings,frontdoor/lt_frontdoor,check_lt4_resource_logs,Live: DiagnosticSettings on fd.id; any enabled log → PASS; key categories: FrontdoorAccessLog/FrontdoorWebApplicationFirewallLog,High,Wide,6
frontdoor,PA-7,Limit Access via RBAC — AFD Management,False,Not Applicable,conditional,conditional,fd.id (ARM RBAC),frontdoor/pa_frontdoor,check_pa7_rbac_data_plane,ARM RBAC enforced for AFD management; built-in role: Front Door Profile Reader; customer must assign; not checkable via read-only ARM without RBAC enumeration; UNKNOWN static,High,Wide,6
networkwatcher,IM-1,Azure AD Authentication Required for Data Plane Access,True,False,implemented,implemented,platform (ARM enforces Entra ID auth),networkwatcher/im_networkwatcher,check_im1_aad_auth_required,feature_supported=True → PASS static (microsoft_managed); NW operations exclusively use ARM RBAC with Entra ID; no local auth possible,High,Wide,6
networkwatcher,PA-7,Azure RBAC for Data Plane,True,False,implemented,implemented,platform (ARM RBAC — Network Watcher Contributor role),networkwatcher/pa_networkwatcher,check_pa7_rbac_data_plane,feature_supported=True → PASS static; NW operations governed by ARM RBAC (Network Watcher Contributor built-in role); microsoft enforced,High,Wide,6
privatelink,NS-1,Network Security Group Support,True,False,implemented,implemented,subnet.private_endpoint_network_policies,privatelink/ns_privatelink,check_ns1_nsg,LIVE-DIRECT: check subnet.private_endpoint_network_policies for PE subnet; default='Disabled' (NSG bypassed — most deployments FAIL); PASS if 'Enabled' or 'NetworkSecurityGroupEnabled'; cross-ref via subnets.get(rg vnet subnet) parsed from endpoint.subnet.id,High,Wide,6
publicip,NS-1,Standard SKU (Secure-by-Default),True,False,implemented,implemented,sku.name,publicip/ns_publicip,check_ns1_sku,Standard SKU → PASS (closed-by-default; zone-redundant); Basic → FAIL (deprecated Sep 2025; open-by-default),High,Wide,6
publicip,NS-1,Virtual Network Integration — IP Attachment Status,True,False,implemented,implemented,ipConfiguration,publicip/ns_publicip,check_ns1_vnet,ip_configuration present → IP attached to VNet resource → PASS; None → orphaned IP (security risk) → FAIL,High,Wide,6
publicip,LT-4,Azure Resource Logs,True,False,implemented,implemented,diagnosticSettings.logs + metrics (DDoSProtectionNotifications / AllMetrics),publicip/lt_publicip,check_lt4_resource_logs,DiagnosticSettings with any enabled log (DDoSProtectionNotifications etc.) or metric → PASS,High,Wide,6
redis,IM-7,Conditional Access for Data Plane,False,Not Applicable,conditional_unknown,conditional,see script,im_redis,check_im7_conditional_access,"Since Entra ID auth is GA for Redis (Nov 2024), Azure AD Conditional Access policies do apply to the Entra authentication flow for Redis data plane access. However CA policies are configured in Entra ID / Microsoft Graph — not in the Redis ARM resource. Not checkable via azure-mgmt-redis SDK. Requires IM-1 (Entra auth) to be enabled first. Script not feasible via Redis ARM alone.",High,Wide,6
redis,NS-1,Network Security Group Support,True,False,implemented,implemented,Microsoft.Cache/Redis/properties/subnetId,ns_redis,check_ns1_nsg,LIVE-DIRECT: Azure Cache for Redis (Premium/Enterprise) supports VNet injection with NSG on the delegated subnet.,High,Wide,6
redis,NS-2,Azure Private Link,True,False,implemented,implemented,Microsoft.Cache/Redis/properties/privateEndpointConnections,ns_redis,check_ns2_private_link,LIVE-DIRECT: Azure Cache for Redis (Premium/Enterprise) supports Private Endpoint for private connectivity.,High,Wide,6
redis,LT-4,Azure Resource Logs,True,False,implemented,implemented,Microsoft.Cache/Redis/diagnosticSettings,lt_redis,check_lt4_resource_logs,"LIVE-DIRECT: Azure Cache for Redis supports diagnostic logs (connection events, cache activity) via Azure Monitor.",High,Wide,6
redis,NS-1,Virtual Network Integration,True,False,implemented,implemented,Microsoft.Cache/Redis/properties/subnetId,ns_redis,check_ns1_nsg,LIVE-DIRECT: Azure Cache for Redis (Premium/Enterprise) supports VNet injection for network isolation.,High,Wide,6
servicebus,NS-1,Network Security Group Support,True,False,implemented,implemented,namespaces.get_network_rule_set().default_action,servicebus/ns_servicebus,check_ns1_nsg,Network rule set default_action=Deny → network-level control PASS; SB not subnet-injected so NSG proxy via rule set,High,Wide,6
servicebus,NS-1,Virtual Network Integration,True,False,implemented,implemented,namespaces.get_network_rule_set().virtual_network_rules / privateEndpointConnections,servicebus/ns_servicebus,check_ns1_vnet,Premium-only; non-Premium → UNKNOWN; Premium without VNet rules or private endpoints → FAIL,High,Wide,6
servicebus,NS-2,Azure Private Link,True,False,implemented,implemented,privateEndpointConnections,servicebus/ns_servicebus,check_ns2_private_link,At least one Approved private endpoint connection embedded in namespace object → PASS,High,Wide,6
servicebus,NS-2,Disable Public Network Access,True,False,implemented,implemented,publicNetworkAccess / namespaces.get_network_rule_set().default_action,servicebus/ns_servicebus,check_ns2_disable_public_access,PASS if public_network_access=Disabled OR network rule set default_action=Deny,High,Wide,6
servicebus,IM-3,Use Azure AD Managed Identities for Azure Resource Authentication,True,False,implemented,implemented,identity.type,servicebus/im_servicebus,check_im3_managed_identities,namespace.identity present (SystemAssigned/UserAssigned) → PASS proxy; no identity → FAIL,High,Wide,6
servicebus,IM-3,Use Azure AD Service Principals for Azure Resource Authentication,True,False,implemented,implemented,disableLocalAuth,servicebus/im_servicebus,check_im3_service_principals,disable_local_auth=True → Entra/RBAC enforced → SP assignments supported → PASS proxy,High,Wide,6
servicebus,LT-4,Enable Logging for Azure Resources,True,False,implemented,implemented,DiagnosticSettings.logs[*].enabled,servicebus/lt_servicebus,check_lt4_resource_logs,MonitorManagementClient.diagnostic_settings.list(ns.id); any enabled log category → PASS,High,Wide,6
siterecovery,IM-1,Azure AD Authentication Required for Data Plane Access,True,False,implemented,implemented,N/A — microsoft_managed PASS static,,,microsoft_managed: Azure Site Recovery enforces AAD authentication for all vault management and replication API calls; always enabled; not customer-configurable,High,Wide,6
siterecovery,PA-7,Azure RBAC for Data Plane,True,False,implemented,implemented,Microsoft.RecoveryServices/vaults/*/read (RBAC assignment),,,"LIVE-DIRECT: Azure Site Recovery has built-in RBAC roles (Site Recovery Operator, Contributor, Reader); check RBAC role assignments on vault for SR-specific roles",High,Wide,6
siterecovery,NS-2,Azure Private Link,True,False,implemented,implemented,vault.properties.privateEndpointConnections,,,LIVE-DIRECT: Recovery Services Vault supports private endpoints for SR replication traffic; check properties.privateEndpointConnections length > 0,High,Wide,6
siterecovery,LT-4,Azure Resource Logs,True,False,implemented,implemented,DiagnosticSettings(vault.id).logs,,,"LIVE-DIRECT: Recovery Services Vault emits Site Recovery diagnostic logs (AzureSiteRecoveryJobs, AzureSiteRecoveryEvents, AzureSiteRecoveryReplicatedItems etc.); check DiagnosticSettings for SR log categories enabled",High,Wide,6
siterecovery,IM-3,Service Principals,True,False,implemented,implemented,automationAccount.properties.servicePrincipalId,,,LIVE-DIRECT: Site Recovery creates an Automation Account with a Run As service principal for update management and DR automation; check linked Automation Account for active service principal,High,Wide,6
spatialanchors,IM-1,Azure AD Authentication Required for Data Plane Access,True,False,implemented,implemented,N/A — microsoft_managed PASS static,,,microsoft_managed: Azure Spatial Anchors enforces AAD auth for anchor management API (create/read/update/delete); deprecated November 2024,High,Wide,6
spatialanchors,PA-7,Azure RBAC for Data Plane,True,False,implemented,implemented,Microsoft.MixedReality/spatialAnchorsAccounts/*/read (RBAC assignment),,,LIVE-DIRECT: Azure RBAC controls anchor account access; Spatial Anchors Account Owner/Contributor built-in roles; deprecated November 2024,High,Wide,6
spatialanchors,IM-3,Service Principals,True,False,implemented,implemented,N/A — microsoft_managed PASS static,,,microsoft_managed: Service Principals supported for Spatial Anchors auth via AAD app registration; deprecated November 2024,High,Wide,6
universalprint,PA-7,Azure RBAC for Data Plane,True,False,implemented,implemented,Microsoft.Print/printers/*/read (RBAC assignment),,,LIVE-DIRECT: Universal Print uses Azure RBAC for printer management; Printer Administrator built-in role; check RBAC assignments on printer resources,High,Wide,6
vpngateway,IM-1,Azure AD Authentication Required for Data Plane Access,True,False,implemented,implemented,vpn_client_configuration.vpn_auth_types,vpngateway/im_vpngateway,check_im1_aad_auth_required,P2S VPN supports AAD auth (Entra ID); check vpn_auth_types for 'AAD'; S2S-only gateways return UNKNOWN (P2S not configured),High,Wide,6
vpngateway,IM-7,Conditional Access for Data Plane,True,False,conditional,conditional,N/A — Entra ID level; not ARM-checkable,vpngateway/im_vpngateway,check_im7_conditional_access,CA supported for P2S+AAD at Entra ID level; CA policies in Entra ID not VPN GW ARM resource; not checkable via read-only ARM without Graph API scope,High,Wide,6
waf,NS-1,Network Security Group Support,True,False,implemented,implemented,ag.gateway_ip_configurations[0].subnet → subnet.network_security_group,waf/ns_waf,check_ns1_nsg,LIVE-INDIRECT: cross-reference App GW subnet for NSG; no AGs linked → UNKNOWN; classic inline WAF (no firewall_policy.id) not reachable via WAF policy,High,Wide,6
waf,NS-2,Azure Private Link,True,False,implemented,implemented,ag.private_link_configurations,waf/ns_waf,check_ns2_private_link,LIVE-INDIRECT: App GW private_link_configurations; non-empty → PASS; AFD Premium Private Link for WAF-linked origins covered separately,High,Wide,6
waf,NS-2,Disable Public Network Access,True,False,implemented,implemented,ag.frontend_ip_configurations,waf/ns_waf,check_ns2_disable_public,LIVE-INDIRECT: App GW frontend_ip_configurations; public IP present → FAIL; private-only → PASS,High,Wide,6
waf,LT-1,Microsoft Defender for Service,True,False,implemented,implemented,SecurityCenter.pricings(AppServices).pricing_tier,waf/lt_waf,check_lt1_defender,LIVE-SUB: SecurityCenter pricings AppServices Standard → WAF alerts surface in Defender for Cloud; Free → FAIL,High,Wide,6
waf,LT-4,Azure Resource Logs,True,False,implemented,implemented,diagnostic_settings.list(ag.id) → ApplicationGatewayFirewallLog,waf/lt_waf,check_lt4_resource_logs,LIVE-INDIRECT: DiagSettings on App Gateway (NOT on WAF policy.id — policy emits no logs); category ApplicationGatewayFirewallLog,High,Wide,6
addds,DP-3,Data in Transit Encryption,True,False,implemented,implemented,N/A — microsoft_managed PASS static,,,microsoft_managed: ADDDS enforces LDAPS (TCP 636) and Kerberos over TLS for data in transit; platform-configured; customers must configure LDAPS cert but TLS is enforced,Medium,Wide,4
apimanagement,AM-2,Azure Policy Support,True,False,implemented,implemented,Microsoft.ApiManagement/service,,,"LIVE-DIRECT: Azure Policy built-in definitions available for API Management; enforce HTTPS-only, named values encryption, etc.",Medium,Wide,4
apimanagement,DP-7,Certificate Management in Azure Key Vault,True,False,implemented,implemented,Microsoft.ApiManagement/service/certificates,,,LIVE-DIRECT: API Management supports custom SSL/TLS certificates managed and auto-renewed via Azure Key Vault.,Medium,Wide,4
apimanagement,DP-3,Data in Transit Encryption,True,True,implemented,implemented,,,,microsoft_managed: API Management enforces TLS 1.2+ for all data plane communications by default.,Medium,Wide,4
apimanagement,DP-6,Key Management in Azure Key Vault,True,False,implemented,implemented,Microsoft.ApiManagement/service/namedValues,,,LIVE-DIRECT: API Management Named Values can reference Key Vault secrets for encryption key and credential management scenarios.,Medium,Wide,4
apimanagement,BR-1,Service Native Backup Capability,True,False,implemented,implemented,Microsoft.ApiManagement/service/backup,,,"LIVE-DIRECT: API Management has built-in backup/restore capability via management REST API; backs up service config, APIs, products, subscriptions.",Medium,Wide,4
appgateway,DP-3,Encrypt Data in Transit — Frontend SSL Policy,True,False,implemented,implemented,sslPolicy.minProtocolVersion,appgateway/dp_appgateway,check_dp3_tls_transit,ssl_policy.min_protocol_version in (TLSv1_2 / TLSv1_3) → PASS; None → FAIL (allows TLS 1.0/1.1),Medium,Wide,4
