asb_control_id,feature_name,feature_supported_original,feature_enabled_by_default_original,status_2025,verdict_2025,azure_api_property,script_module,script_function,notes
DP-7,Certificate Management in Azure Key Vault,Not Applicable,Not Applicable,not_applicable_paas,still_not_applicable,N/A,ddosprotection/dp_ddosprotection,check_dp7_cert_kv,DDoS plan uses no certificates; KV cert management not applicable
IM-1,Local Authentication Methods for Data Plane Access,Not Applicable,Not Applicable,not_applicable_arm,still_not_applicable,N/A (ARM RBAC only),ddosprotection/im_ddosprotection,check_im1_local_auth_methods,No data plane or mgmt interface requiring local auth; all ops via ARM with Entra ID
IM-1,Azure AD Authentication Required for Data Plane Access,Not Applicable,Not Applicable,not_applicable_arm,still_not_applicable,N/A (ARM RBAC only),ddosprotection/im_ddosprotection,check_im1_aad_auth_required,No data plane; ARM enforces Entra ID auth for all management ops
IM-3,Managed Identities,Not Applicable,Not Applicable,not_applicable_arm,still_not_applicable,N/A,ddosprotection/im_ddosprotection,check_im3_managed_identities,DDoS plan does not support MI assignment; passive control-plane resource with no auth requirements
IM-3,Service Principals,Not Applicable,Not Applicable,not_applicable_arm,still_not_applicable,N/A,ddosprotection/im_ddosprotection,check_im3_service_principals,No data-plane SP auth for DDoS plan; SP used at subscription/RG level for ARM management only
IM-7,Conditional Access for Data Plane,Not Applicable,Not Applicable,not_applicable_arm,still_not_applicable,N/A,ddosprotection/im_ddosprotection,check_im7_conditional_access,No data plane; CA applies at Entra ID/ARM level not per-plan
IM-8,Service Credential and Secrets Support Integration and Storage in Azure Key Vault,Not Applicable,Not Applicable,not_applicable_paas,still_not_applicable,N/A,ddosprotection/im_ddosprotection,check_im8_keyvault_secrets,DDoS plan stores no credentials or secrets; KV integration not applicable
LT-1,Microsoft Defender for Service — Azure DDoS Protection,Not Applicable,Not Applicable,not_applicable_paas,still_not_applicable,N/A,ddosprotection/lt_ddosprotection,check_lt1_defender,No dedicated Defender for DDoS Protection product; DDoS Protection Standard IS the threat mitigation mechanism
LT-4,Azure Resource Logs,True,False,implemented,implemented,diagnosticSettings.logs + metrics,ddosprotection/lt_ddosprotection,check_lt4_resource_logs,DiagnosticSettings on plan with any enabled log or metric → PASS; primary DDoS telemetry (flow logs/notifications) also on Public IP resources
BR-1,Azure Backup,Not Applicable,Not Applicable,not_applicable_paas,still_not_applicable,N/A,ddosprotection/br_ddosprotection,check_br1_azure_backup,Azure Backup not supported for DDoS plans; plan is configuration-only; recreatable from IaC
BR-1,Service Native Backup Capability,Not Applicable,Not Applicable,not_applicable_paas,still_not_applicable,N/A,ddosprotection/br_ddosprotection,check_br1_native_backup,No native backup; store plan definition in source control as compensating control
AM-2,Azure Policy Support,True,False,implemented,implemented,tags,ddosprotection/am_ddosprotection,check_am2_policy,Resource tags present → PASS proxy for policy governance; no tags → FAIL
AM-5,Microsoft Defender for Cloud — Adaptive Application Controls,Not Applicable,Not Applicable,not_applicable_paas,still_not_applicable,N/A,ddosprotection/am_ddosprotection,check_am5_defender_aac,PaaS control-plane resource; AAC targets VMs and Arc-enabled servers only
PA-1,Local Admin Accounts,Not Applicable,Not Applicable,not_applicable_arm,still_not_applicable,N/A (no local admin concept),ddosprotection/pa_ddosprotection,check_pa1_local_admin,Managed control-plane resource; ARM RBAC with Entra ID is the only access model
PA-7,Azure RBAC for Data Plane,Not Applicable,Not Applicable,not_applicable_arm,still_not_applicable,N/A (no data plane),ddosprotection/pa_ddosprotection,check_pa7_rbac_data_plane,No data plane; management via ARM RBAC (Network Contributor or DDoS Plan Contributor)
PA-8,Customer Lockbox,Not Applicable,Not Applicable,not_applicable_paas,still_not_applicable,N/A,ddosprotection/pa_ddosprotection,check_pa8_customer_lockbox,DDoS Protection Plan not in Customer Lockbox supported services GA list
ES-1,EDR Solution,Not Applicable,Not Applicable,not_applicable_paas,still_not_applicable,N/A,ddosprotection/es_ddosprotection,check_es1_edr,PaaS; EDR deploys on VMs in protected VNets — not on DDoS plan itself
ES-2,Anti-Malware Solution,Not Applicable,Not Applicable,not_applicable_paas,still_not_applicable,N/A,ddosprotection/es_ddosprotection,check_es2_antimalware,PaaS; antimalware not applicable to a DDoS configuration object
ES-3,Anti-Malware Solution Health Monitoring,Not Applicable,Not Applicable,not_applicable_paas,still_not_applicable,N/A,ddosprotection/es_ddosprotection,check_es3_antimalware_health,PaaS; no antimalware health monitoring concept for DDoS plan
PV-3,Azure Automation State Configuration,Not Applicable,Not Applicable,not_applicable_paas,still_not_applicable,N/A,ddosprotection/pv_ddosprotection,check_pv3_automation_state_config,PaaS; Automation State Config targets VMs/Arc; no OS substrate on DDoS plan
PV-3,Azure Policy Guest Configuration Agent,Not Applicable,Not Applicable,not_applicable_paas,still_not_applicable,N/A,ddosprotection/pv_ddosprotection,check_pv3_guest_config_agent,PaaS; guest config agent requires VM or Arc substrate — not deployable on DDoS plan
PV-3,Custom Container Images,Not Applicable,Not Applicable,not_applicable_paas,still_not_applicable,N/A,ddosprotection/pv_ddosprotection,check_pv3_custom_container_images,PaaS; no container image concept applies to a DDoS protection configuration object
PV-3,Custom VM Images,Not Applicable,Not Applicable,not_applicable_paas,still_not_applicable,N/A,ddosprotection/pv_ddosprotection,check_pv3_custom_vm_images,PaaS; no VM image concept applies to a DDoS protection configuration object
PV-5,Vulnerability Assessment using Microsoft Defender,Not Applicable,Not Applicable,not_applicable_paas,still_not_applicable,N/A,ddosprotection/pv_ddosprotection,check_pv5_defender_va,PaaS; Defender VA targets VMs/containers/App Service/SQL — DDoS plan not in supported list
PV-6,Azure Automation Update Management,Not Applicable,Not Applicable,not_applicable_paas,still_not_applicable,N/A,ddosprotection/pv_ddosprotection,check_pv6_update_management,PaaS; Update Management targets VMs; DDoS plan has no OS or patch surface
