asb_control_id,feature_name,feature_supported_original,feature_enabled_by_default_original,status_2025,verdict_2025,azure_api_property,script_module,script_function,notes
DP-4,Data at Rest Encryption Using Platform Keys,True,True,implemented,implemented,N/A — microsoft_managed PASS static,,,microsoft_managed: Recovery Services Vault encrypts replication data at rest using Microsoft-managed keys by default; platform-enforced
DP-3,Data in Transit Encryption,True,True,implemented,implemented,N/A — microsoft_managed PASS static,,,"microsoft_managed: Site Recovery enforces TLS 1.2+ for all replication traffic between source, vault, and target; platform-enforced"
DP-2,Data Leakage/Loss Prevention,False,Not Applicable,still_not_applicable,still_not_applicable,,,,feature_supported=False; Azure Site Recovery does not implement DLP controls; DLP applies to source data not replication infrastructure; not_applicable at SR vault level
LT-1,Microsoft Defender for Service / Product Offering,False,Not Applicable,still_not_applicable,still_not_applicable,,,,feature_supported=False; no Microsoft Defender plan for Site Recovery as a service resource; Defender for Servers protects replicated VMs but not the SR vault service itself; not_applicable
NS-2,Disable Public Network Access,False,Not Applicable,still_not_applicable,still_not_applicable,,,,feature_supported=False; Azure Site Recovery replication requires internet-routable endpoints for mobility agent communication; no disable-public-access toggle for SR replication traffic; Private Link (NS-2) provides alternative private path
ES-1,EDR Solution,Not Applicable,Not Applicable,still_not_applicable,still_not_applicable,,,,feature_supported=Not Applicable; PaaS vault; no compute or endpoint layer; not_applicable
DP-6,Key Management in Azure Key Vault,True,False,implemented,implemented,vault.properties.encryption.keyVaultProperties.keyUri,,,LIVE-DIRECT: Customer-managed key rotation via Key Vault supported for SR vault; check keyVaultProperties.keyUri for active KV reference
PA-1,Local Admin Accounts,Not Applicable,Not Applicable,still_not_applicable,still_not_applicable,,,,feature_supported=Not Applicable; Recovery Services Vault is PaaS; no local admin account concept; not_applicable
IM-1,Local Authentication Methods for Data Plane Access,Not Applicable,Not Applicable,still_not_applicable,still_not_applicable,,,,"feature_supported=Not Applicable; Site Recovery uses service principal (Run As account) auth, not local auth methods; not_applicable"
IM-3,Managed Identities,False,Not Applicable,still_not_applicable,still_not_applicable,,,,feature_supported=False in MCSB v3 baseline; Azure Site Recovery vault uses Run As account service principal for automation; managed identity for SR vault operations not confirmed as generally available at assessment time; still_not_applicable
BR-1,Service Native Backup Capability,True,True,implemented,implemented,N/A — microsoft_managed PASS static,,,"microsoft_managed: Azure Site Recovery IS the native DR and replication capability; platform-enforced replication, failover, and test DR orchestration; service core function"
NS-1,Network Security Group Support,Not Applicable,Not Applicable,still_not_applicable,still_not_applicable,,,,feature_supported=Not Applicable; Recovery Services Vault is a PaaS resource; NSG does not apply to vault endpoint; network isolation via Private Link
NS-2,Azure Private Link,True,False,implemented,implemented,vault.properties.privateEndpointConnections,,,LIVE-DIRECT: Recovery Services Vault supports private endpoints for SR replication traffic; check properties.privateEndpointConnections length > 0
LT-4,Azure Resource Logs,True,False,implemented,implemented,DiagnosticSettings(vault.id).logs,,,"LIVE-DIRECT: Recovery Services Vault emits Site Recovery diagnostic logs (AzureSiteRecoveryJobs, AzureSiteRecoveryEvents, AzureSiteRecoveryReplicatedItems etc.); check DiagnosticSettings for SR log categories enabled"
DP-1,Sensitive Data Discovery and Classification,False,Not Applicable,still_not_applicable,still_not_applicable,,,,feature_supported=False; Site Recovery replicates VMs as-is; data classification on replicated data is customer responsibility on source; not_applicable at SR vault level
IM-3,Service Principals,True,False,implemented,implemented,automationAccount.properties.servicePrincipalId,,,LIVE-DIRECT: Site Recovery creates an Automation Account with a Run As service principal for update management and DR automation; check linked Automation Account for active service principal
NS-1,Virtual Network Integration,False,Not Applicable,still_not_applicable,still_not_applicable,,,,feature_supported=False; Recovery Services Vault is not deployed into customer VNet; network isolation achieved via Private Link; VNet integration not applicable
PV-5,Vulnerability Assessment using Microsoft Defender,Not Applicable,Not Applicable,still_not_applicable,still_not_applicable,,,,feature_supported=Not Applicable; PaaS vault; no compute or OS layer to scan; not_applicable
