domain,feature_name,story_id,story_title,resource,is_combined,description,acceptance_criteria,tags,policy_status
NS,[SEC-NS] Network Security — MCSB v2,SEC-2,[SEC-2] Secure Cloud Native Services: Communication Services,Communication Services,True,"As a cloud engineer, I want to assess Azure Communication Services access configuration — managed identity authentication, API access scoping, data residency, and diagnostic log routing — so that NS-2 gaps in authentication controls and network access for this service are identified. Key Azure Policy built-ins applicable: ⚠️ No confirmed Azure Communication Services-specific policy built-ins in MCSB v2 preview — assessment relies on Defender for Cloud recommendations and manual configuration audit.","Communication Services NS-2 configuration assessed against MCSB baseline and instances lacking managed identity authentication or diagnostic logging identified.
Azure Policy coverage for Communication Services controls evaluated; gaps in automated compliance detection noted.
Gap findings documented with remediation scope and affected Communication Services resource instances noted.",Security,none
NS,[SEC-NS] Network Security — MCSB v2,SEC-2,[SEC-2] Secure Cloud Native Services: Communications Gateway,Communications Gateway,True,"As a cloud engineer, I want to assess Azure Communications Gateway network security — SIP signaling TLS configuration, admin plane access restrictions, and carrier network BGP peering authentication — so that NS-2 gaps in SIP transport security and management plane exposure are identified. Key Azure Policy built-ins applicable: ⚠️ No confirmed Azure Communications Gateway-specific policy built-ins in MCSB v2 preview — assessment relies on SIP and BGP configuration manual review.","Communications Gateway NS-2 configuration assessed against MCSB baseline and SIP instances without TLS enforcement or restricted admin access identified.
Azure Policy coverage for Communications Gateway controls evaluated; gaps in automated compliance detection noted.
Gap findings documented with remediation scope and affected Communications Gateway deployment instances noted.",Security,none
NS,[SEC-NS] Network Security — MCSB v2,SEC-2,[SEC-2] Secure Cloud Native Services: Container Apps,Container Apps,True,"As a cloud engineer, I want to assess Container Apps environment network isolation — VNet integration, internal-only ingress configuration, private DNS zone linkage, and environment-level isolation — so that NS-2 gaps where container workloads are reachable via public FQDN without restriction are identified. Key Azure Policy built-ins applicable: ⚠️ ""Container Apps environments should use network injection"" (training data — verify exact display name against current MCSB v2 preview policy list).","Container Apps NS-2 configuration assessed against MCSB baseline and environments without VNet injection or internal ingress configuration identified.
Azure Policy compliance evaluated for network isolation controls applicable to Container Apps environments.
Gap findings documented with remediation scope and affected Container Apps environment and app instances noted.",Security,uncertain
NS,[SEC-NS] Network Security — MCSB v2,SEC-2,[SEC-2] Secure Cloud Native Services: Data Factory,Data Factory,True,"As a cloud engineer, I want to assess Azure Data Factory network controls — managed private endpoints for linked services, self-hosted IR VNet placement, and public network access on the ADF authoring surface — so that NS-2 gaps where pipeline data movement traverses public endpoints are identified. Key Azure Policy built-ins applicable: ""Azure Data Factory should use private link"", ⚠️ ""Azure Data Factory linked services should use Key Vault for storing secrets"" (security-adjacent control).","Data Factory NS-2 configuration assessed against MCSB baseline and factories with public network access or unmanaged linked service connectivity identified.
Azure Policy compliance evaluated for: ""Azure Data Factory should use private link"" and applicable linked service network controls.
Gap findings documented with remediation scope and affected Data Factory and Integration Runtime instances noted.",Security,uncertain
NS,[SEC-NS] Network Security — MCSB v2,SEC-2,[SEC-2] Secure Cloud Native Services: Database Migration Service,Database Migration Service,True,"As a cloud engineer, I want to assess Azure Database Migration Service deployment posture — VNet integration mode, source and target connectivity routing, and private endpoint configuration — so that NS-2 gaps where migration traffic traverses public internet paths are identified. Key Azure Policy built-ins applicable: ⚠️ ""Azure Database Migration Service should use private endpoint"" (training data — verify exact display name against current MCSB v2 preview policy list).","Database Migration Service NS-2 configuration assessed against MCSB baseline and DMS instances without VNet integration or private endpoint identified.
Azure Policy compliance evaluated for private connectivity controls applicable to Database Migration Service.
Gap findings documented with remediation scope and affected DMS project and migration instances noted.",Security,uncertain
NS,[SEC-NS] Network Security — MCSB v2,SEC-2,[SEC-2] Secure Cloud Native Services: Databricks,Databricks,True,"As a cloud engineer, I want to assess Azure Databricks network isolation — VNet injection, no-public-IP mode on cluster nodes, NSG rule compliance, and Secure Cluster Connectivity configuration — so that NS-2 gaps where Databricks workspace or compute nodes are accessible over public networks are identified. Key Azure Policy built-ins applicable: ""Azure Databricks Workspaces should use private link"", ""Azure Databricks Clusters should disable public IP"".","Databricks NS-2 configuration assessed against MCSB baseline and workspaces without VNet injection, no-public-IP mode, or Secure Cluster Connectivity identified.
Azure Policy compliance evaluated for: ""Azure Databricks Workspaces should use private link"", ""Azure Databricks Clusters should disable public IP"".
Gap findings documented with remediation scope and affected Databricks workspace and cluster instances noted.",Security,none
NS,[SEC-NS] Network Security — MCSB v2,SEC-2,[SEC-2] Secure Cloud Native Services: Digital Twins,Digital Twins,True,"As a cloud engineer, I want to assess Azure Digital Twins network controls — private endpoint, public network access, API authentication method, and event routing connectivity — so that NS-2 gaps in data plane access and event delivery network isolation are documented. Key Azure Policy built-ins applicable: ⚠️ ""Azure Digital Twins should use private link"" (training data — verify exact display name against current MCSB v2 preview policy list).","Digital Twins NS-2 configuration assessed against MCSB baseline and instances with public data plane access or missing private endpoint identified.
Azure Policy compliance evaluated for private link and public network access controls applicable to Digital Twins.
Gap findings documented with remediation scope and affected Digital Twins instance and endpoint route configurations noted.",Security,uncertain
NS,[SEC-NS] Network Security — MCSB v2,SEC-2,[SEC-2] Secure Cloud Native Services: Event Grid,Event Grid,True,"As a cloud engineer, I want to assess Event Grid network posture — private endpoint on topics and domains, public network access, managed identity for event delivery, and dead-letter storage connectivity — so that NS-2 gaps in event routing network isolation are identified. Key Azure Policy built-ins applicable: ""Azure Event Grid topics should use private link"", ""Azure Event Grid domains should use private link"".","Event Grid NS-2 configuration assessed against MCSB baseline and topics or domains with public network access or missing private endpoints identified.
Azure Policy compliance evaluated for: ""Azure Event Grid topics should use private link"", ""Azure Event Grid domains should use private link"".
Gap findings documented with remediation scope and affected Event Grid topic and domain instances noted.",Security,none
NS,[SEC-NS] Network Security — MCSB v2,SEC-2,[SEC-2] Secure Cloud Native Services: Event Hubs,Event Hubs,True,"As a cloud engineer, I want to assess Event Hubs namespace network controls — private endpoint, public network access, SAS key usage by applications, IP firewall, and TLS minimum version — so that NS-2 gaps in messaging layer network isolation and authentication exposure are documented. Key Azure Policy built-ins applicable: ""Event Hub Namespaces should use private link"", ⚠️ ""Azure Event Hubs namespaces should disable public network access"" (training data — verify exact display name).","Event Hubs NS-2 configuration assessed against MCSB baseline and namespaces with public access, missing private endpoints, or SAS-only authentication identified.
Azure Policy compliance evaluated for: ""Event Hub Namespaces should use private link"" and applicable public network access controls.
Gap findings documented with remediation scope and affected Event Hub namespace instances noted.",Security,uncertain
NS,[SEC-NS] Network Security — MCSB v2,SEC-2,[SEC-2] Secure Cloud Native Services: File Sync,File Sync,True,"As a cloud engineer, I want to assess Azure File Sync network configuration — Storage Sync Service private endpoint, underlying storage account firewall rules, and registered server authentication — so that NS-2 gaps where sync traffic traverses public network paths are identified. Key Azure Policy built-ins applicable: ⚠️ ""Azure File Sync should use private link"" (training data — verify exact display name against current MCSB v2 preview policy list).","File Sync NS-2 configuration assessed against MCSB baseline and Storage Sync Services lacking private endpoint or with storage firewall bypasses identified.
Azure Policy compliance evaluated for private link controls applicable to File Sync and associated storage accounts.
Gap findings documented with remediation scope and affected Storage Sync Service and registered server instances noted.",Security,uncertain
NS,[SEC-NS] Network Security — MCSB v2,SEC-2,[SEC-2] Secure Cloud Native Services: Functions,Functions,True,"As a cloud engineer, I want to assess Azure Functions network controls — VNet integration for outbound routing, private endpoints for trigger storage, HTTPS-only enforcement, and managed identity for bindings — so that NS-2 gaps where function workloads egress or are triggered over public network paths are identified. Key Azure Policy built-ins applicable: ""Function apps should only be accessible over HTTPS"", ""Function apps should use the latest TLS version"".","Functions NS-2 configuration assessed against MCSB baseline and function apps without VNet integration, HTTPS-only enforcement, or managed identity bindings identified.
Azure Policy compliance evaluated for: ""Function apps should only be accessible over HTTPS"", ""Function apps should use the latest TLS version"".
Gap findings documented with remediation scope and affected Function App and hosting plan instances noted.",Security,none
NS,[SEC-NS] Network Security — MCSB v2,SEC-2,[SEC-2] Secure Cloud Native Services: HPC Cache,HPC Cache,True,"As a cloud engineer, I want to assess Azure HPC Cache network isolation — VNet deployment, subnet NSG rules for client access restriction, and storage target connectivity routing — so that NS-2 gaps where cache data movement or client access traverses unauthorized network paths are identified. Key Azure Policy built-ins applicable: ⚠️ No confirmed Azure HPC Cache-specific policy built-ins in MCSB v2 preview — assessment relies on VNet placement and NSG manual audit.","HPC Cache NS-2 configuration assessed against MCSB baseline and cache instances deployed outside dedicated VNet subnets or with unrestricted NSG rules identified.
Azure Policy coverage for HPC Cache controls evaluated; gaps in automated compliance detection noted.
Gap findings documented with remediation scope and affected HPC Cache instance and storage target configurations noted.",Security,none
NS,[SEC-NS] Network Security — MCSB v2,SEC-2,[SEC-2] Secure Cloud Native Services: Logic Apps,Logic Apps,True,"As a cloud engineer, I want to assess Logic Apps Standard network controls — VNet integration, private endpoint for triggers, IP restriction on callback URLs, and managed identity for connector authentication — so that NS-2 gaps where workflow triggers or connector traffic traverse public network paths are identified. Key Azure Policy built-ins applicable: ⚠️ ""Logic Apps Integration Service Environment should be isolated on a virtual network"" (training data — verify exact display name against current MCSB v2 preview policy list).","Logic Apps NS-2 configuration assessed against MCSB baseline and Standard apps without VNet integration or ISE apps with public exposure identified.
Azure Policy compliance evaluated for VNet isolation controls applicable to Logic Apps Standard and ISE deployments.
Gap findings documented with remediation scope and affected Logic App workflow and connector instances noted.",Security,uncertain
NS,[SEC-NS] Network Security — MCSB v2,SEC-2,[SEC-2] Secure Cloud Native Services: Machine Learning Service,Machine Learning Service,True,"As a cloud engineer, I want to assess Azure Machine Learning workspace network isolation — private endpoint, public network access, compute node public IP configuration, and associated resource private endpoint coverage — so that NS-2 gaps in ML environment isolation are identified across the workspace and its dependent services. Key Azure Policy built-ins applicable: ""Azure Machine Learning Workspaces should use private link"", ⚠️ ""Azure Machine Learning workspace should disable public network access"" (training data — verify exact display name).","Machine Learning NS-2 configuration assessed against MCSB baseline and workspaces with public network access, missing private endpoints, or compute nodes with public IPs identified.
Azure Policy compliance evaluated for: ""Azure Machine Learning Workspaces should use private link"" and applicable public network access controls.
Gap findings documented with remediation scope and affected ML workspace and compute cluster instances noted.",Security,uncertain
NS,[SEC-NS] Network Security — MCSB v2,SEC-2,[SEC-2] Secure Cloud Native Services: Managed Lustre,Managed Lustre,True,"As a cloud engineer, I want to assess Azure Managed Lustre network isolation — VNet deployment, client subnet NSG rules for Lustre port 988, and storage backend connectivity routing — so that NS-2 gaps in file system network access control are identified. Key Azure Policy built-ins applicable: ⚠️ No confirmed Azure Managed Lustre-specific policy built-ins in MCSB v2 preview — assessment relies on VNet placement, NSG port 988 rules, and storage connectivity manual audit.","Managed Lustre NS-2 configuration assessed against MCSB baseline and file system instances without dedicated VNet subnets or with unrestricted Lustre port access identified.
Azure Policy coverage for Managed Lustre controls evaluated; gaps in automated compliance detection noted.
Gap findings documented with remediation scope and affected Managed Lustre cluster and client subnet configurations noted.",Security,none
NS,[SEC-NS] Network Security — MCSB v2,SEC-2,[SEC-2] Secure Cloud Native Services: Notification Hubs,Notification Hubs,True,"As a cloud engineer, I want to assess Azure Notification Hubs namespace access controls — IP firewall configuration, SAS key usage by backend applications, and push notification provider TLS configuration — so that NS-2 gaps in management plane access restriction and authentication are identified for this service. Key Azure Policy built-ins applicable: ⚠️ No confirmed Notification Hubs-specific policy built-ins in MCSB v2 preview — assessment relies on namespace IP rules and SAS authentication manual review.","Notification Hubs NS-2 configuration assessed against MCSB baseline and namespaces without IP firewall restriction or relying on SAS-only authentication identified.
Azure Policy coverage for Notification Hubs controls evaluated; gaps in automated compliance detection noted.
Gap findings documented with remediation scope and affected Notification Hub namespace and backend application configurations noted.",Security,none
NS,[SEC-NS] Network Security — MCSB v2,SEC-2,[SEC-2] Secure Cloud Native Services: Remote Rendering,Remote Rendering,True,"As a cloud engineer, I want to assess Azure Remote Rendering access configuration — Entra ID token authentication for session creation, service principal scoping, and TLS enforcement for rendering streaming — so that NS-2 gaps where rendering sessions are accessible without proper identity or transport security controls are documented. Key Azure Policy built-ins applicable: ⚠️ No confirmed Azure Remote Rendering-specific policy built-ins in MCSB v2 preview — assessment relies on Entra ID authentication and TLS configuration manual audit.","Remote Rendering NS-2 configuration assessed against MCSB baseline and session creation flows without Entra ID token authentication or TLS enforcement identified.
Azure Policy coverage for Remote Rendering controls evaluated; gaps in automated compliance detection noted.
Gap findings documented with remediation scope and affected Remote Rendering account and session instances noted.",Security,none
NS,[SEC-NS] Network Security — MCSB v2,SEC-2,[SEC-2] Secure Cloud Native Services: Service Bus,Service Bus,True,"As a cloud engineer, I want to assess Service Bus namespace network controls — private endpoint, public network access, SAS key authentication by applications, and TLS minimum version — so that NS-2 gaps in messaging network isolation and local authentication exposure are identified. Key Azure Policy built-ins applicable: ""Service Bus Namespaces should use private link"", ⚠️ ""Azure Service Bus namespaces should disable public network access"" (training data — verify exact display name).","Service Bus NS-2 configuration assessed against MCSB baseline and namespaces with public access, missing private endpoints, or SAS-only authentication identified.
Azure Policy compliance evaluated for: ""Service Bus Namespaces should use private link"" and applicable public network access controls.
Gap findings documented with remediation scope and affected Service Bus namespace and queue/topic instances noted.",Security,uncertain
NS,[SEC-NS] Network Security — MCSB v2,SEC-2,[SEC-2] Secure Cloud Native Services: SignalR Service,SignalR Service,True,"As a cloud engineer, I want to assess Azure SignalR Service network posture — private endpoint, public network access, upstream webhook authentication, and diagnostic log configuration — so that NS-2 gaps in real-time messaging service network isolation and upstream security are documented. Key Azure Policy built-ins applicable: ⚠️ ""Azure SignalR Service should use private link"" (training data — verify exact display name against current MCSB v2 preview policy list).","SignalR Service NS-2 configuration assessed against MCSB baseline and instances with public network access or missing private endpoints identified.
Azure Policy compliance evaluated for private link and public network access controls applicable to SignalR Service.
Gap findings documented with remediation scope and affected SignalR Service instance and upstream webhook configurations noted.",Security,uncertain
NS,[SEC-NS] Network Security — MCSB v2,SEC-2,[SEC-2] Secure Cloud Native Services: Spring Apps,Spring Apps,True,"As a cloud engineer, I want to assess Azure Spring Apps network isolation — VNet injection, public test endpoint status, outbound UDR through Azure Firewall, and app-to-app communication routing — so that NS-2 gaps where Spring Apps workloads are reachable over public networks or uncontrolled egress paths are identified. Key Azure Policy built-ins applicable: ⚠️ ""Azure Spring Cloud should use network injection"" (training data — verify exact display name; service renamed to Azure Spring Apps in current portal).","Spring Apps NS-2 configuration assessed against MCSB baseline and service instances without VNet injection or with public test endpoints active identified.
Azure Policy compliance evaluated for VNet injection and network isolation controls applicable to Spring Apps.
Gap findings documented with remediation scope and affected Spring Apps service instance and app configurations noted.",Security,uncertain
NS,[SEC-NS] Network Security — MCSB v2,SEC-2,[SEC-2] Secure Cloud Native Services: Web PubSub,Web PubSub,True,"As a cloud engineer, I want to assess Azure Web PubSub network controls — private endpoint, public network access, upstream event handler authentication, and diagnostic logging — so that NS-2 gaps in WebSocket service network isolation and upstream webhook security are identified. Key Azure Policy built-ins applicable: ⚠️ ""Azure Web PubSub Service should use private link"" (training data — verify exact display name against current MCSB v2 preview policy list).","Web PubSub NS-2 configuration assessed against MCSB baseline and instances with public network access or missing private endpoints identified.
Azure Policy compliance evaluated for private link and public network access controls applicable to Web PubSub.
Gap findings documented with remediation scope and affected Web PubSub service instance and upstream handler configurations noted.",Security,uncertain
NS,[SEC-NS] Network Security — MCSB v2,SEC-2,[SEC-2] Secure Cloud Native Services: Batch,Batch,True,"As a cloud engineer, I want to assess Azure Batch network isolation — pool node public IP configuration, Batch account private endpoint, pool managed identity for storage access, and diagnostic log coverage — so that NS-2 gaps in compute workload network isolation are identified. Key Azure Policy built-ins applicable: ""Azure Batch accounts should disable public network access"", ⚠️ ""Azure Batch pools should have disk encryption enabled"" (security-adjacent — verify NS-2-specific built-ins against current policy list).","Batch NS-2 configuration assessed against MCSB baseline and accounts with public network access or pools with public IP nodes identified.
Azure Policy compliance evaluated for: ""Azure Batch accounts should disable public network access"" and applicable pool network isolation controls.
Gap findings documented with remediation scope and affected Batch account and pool configurations noted.",Security,uncertain
NS,[SEC-NS] Network Security — MCSB v2,SEC-2,[SEC-2] Secure Cloud Native Services: Cognitive Services,Cognitive Services,True,"As a cloud engineer, I want to assess Azure Cognitive Services network controls — private endpoint or VNet service endpoint coverage, public network access, and local API key authentication usage — so that NS-2 gaps where AI service endpoints are accessible over unrestricted public networks are identified. Key Azure Policy built-ins applicable: ""Cognitive Services accounts should restrict network access"", ""Cognitive Services accounts should use private link"".","Cognitive Services NS-2 configuration assessed against MCSB baseline and accounts with unrestricted public network access or local key authentication identified.
Azure Policy compliance evaluated for: ""Cognitive Services accounts should restrict network access"", ""Cognitive Services accounts should use private link"".
Gap findings documented with remediation scope and affected Cognitive Services account and resource instances noted.",Security,none
NS,[SEC-NS] Network Security — MCSB v2,SEC-2,[SEC-2] Secure Cloud Native Services: Content Delivery Network,Content Delivery Network,True,"As a cloud engineer, I want to assess Azure Content Delivery Network configuration — HTTPS-only delivery rules, custom domain TLS certificate management, WAF policy association, and origin access control — so that NS-2 gaps in CDN delivery security and direct origin bypass exposure are identified. Key Azure Policy built-ins applicable: ⚠️ ""Azure CDN profiles should use HTTPS only"" (training data — verify exact display name; CDN Classic vs Azure Front Door Standard/Premium distinctions may affect applicable policy IDs).","Content Delivery Network NS-2 configuration assessed against MCSB baseline and CDN profiles without HTTPS-only delivery rules or WAF policy association identified.
Azure Policy compliance evaluated for HTTPS enforcement and WAF association controls applicable to CDN profiles and endpoints.
Gap findings documented with remediation scope and affected CDN profile and origin configurations noted.",Security,uncertain
NS,[SEC-NS] Network Security — MCSB v2,SEC-3,[SEC-3] Deploy Firewall at Edge of Enterprise Network: Firewall,Firewall,True,"As a cloud engineer, I want to assess Azure Firewall Premium configuration — IDPS mode, Threat Intelligence setting, Firewall Policy hierarchy, and diagnostic log routing to Log Analytics — so that NS-3 gaps where hub firewall instances deviate from centralized inspection and detection requirements are identified. Key Azure Policy built-ins applicable: ""Azure Firewall Standard - Classic Rules should enable Threat Intelligence"", ""Azure Firewall Standard should be upgraded to Premium for next generation protection"".","Azure Firewall NS-3 configuration assessed against MCSB baseline and hub firewall instances without Premium SKU, IDPS mode, or Threat Intelligence alert mode identified.
Azure Policy compliance evaluated for: ""Azure Firewall Standard - Classic Rules should enable Threat Intelligence"", ""Azure Firewall Standard should be upgraded to Premium for next generation protection"".
Gap findings documented with remediation scope and affected Firewall and Firewall Policy instances noted.",Security,none
NS,[SEC-NS] Network Security — MCSB v2,SEC-3,[SEC-3] Deploy Firewall at Edge of Enterprise Network: Firewall Manager,Firewall Manager,True,"As a cloud engineer, I want to assess Azure Firewall Manager policy and hub configuration — parent policy structure, route intent coverage for spoke traffic, DDoS Standard plan association, and policy change alerting — so that NS-3 gaps in centralized firewall policy governance and hub traffic inspection are documented. Key Azure Policy built-ins applicable: ""Virtual Hubs should be protected with Azure Firewall"".","Firewall Manager NS-3 configuration assessed against MCSB baseline and Virtual WAN hubs without secured-hub configuration or route intent policy coverage identified.
Azure Policy compliance evaluated for: ""Virtual Hubs should be protected with Azure Firewall"".
Gap findings documented with remediation scope and affected Firewall Manager policy and hub instances noted.",Security,none
NS,[SEC-NS] Network Security — MCSB v2,SEC-3,[SEC-3] Deploy Firewall at Edge of Enterprise Network: Stack Edge,Stack Edge,True,"As a cloud engineer, I want to assess Azure Stack Edge security configuration — local firewall rules, VPN authentication method, firmware version currency, and device credential management — so that NS-3 gaps in edge appliance network boundary protection are identified. Key Azure Policy built-ins applicable: ⚠️ No confirmed Azure Stack Edge-specific policy built-ins in MCSB v2 preview — assessment relies on Defender for IoT recommendations and device-level configuration audit.","Stack Edge NS-3 configuration assessed against MCSB baseline and devices with outdated firmware, default credentials, or misconfigured local firewall rules identified.
Azure Policy coverage for Stack Edge controls evaluated; gaps in automated compliance detection via Defender for IoT noted.
Gap findings documented with remediation scope and affected Stack Edge device and network configuration instances noted.",Security,none
