asb_control_id,feature_name,feature_supported_original,feature_enabled_by_default_original,status_2025,verdict_2025,azure_api_property,script_module,script_function,notes,service,severity,blast_radius,risk_rank
DP-7,Certificate Management in Azure Key Vault,True,False,implemented,implemented,ag.ssl_certificates[].key_vault_secret_id,waf/dp_waf,check_dp7_cert_kv,LIVE-INDIRECT: App GW ssl_certificates[].key_vault_secret_id; KV-backed cert present → PASS; all direct-upload certs → FAIL | MCSB v3 baseline confirmed: https://learn.microsoft.com/en-us/security/benchmark/azure/baselines/azure-web-application-firewall-security-baseline,waf,Medium,Wide,4
IM-1,Azure AD Authentication Required for Data Plane Access,Not Applicable,Not Applicable,still_not_applicable,still_not_applicable,N/A,waf/im_waf,check_im1_aad_auth,"WAF data plane = HTTP/S inspection; no Azure AD data plane auth concept; not_applicable in baseline | Exa 2026-06-19: WAF data plane inspects HTTP/S traffic from end users — this traffic is not authenticated by the WAF itself (application authentication is handled at the backend app level). No Azure AD data plane auth concept applies to WAF data plane. Management plane access uses Entra ID via ARM RBAC (standard Azure control, not WAF-specific). not_applicable in MCSB v3 baseline. Source: https://learn.microsoft.com/en-us/azure/web-application-firewall/ag/ag-overview",waf,High,Wide,6
IM-1,Local Authentication Methods for Data Plane Access,Not Applicable,Not Applicable,still_not_applicable,still_not_applicable,N/A,waf/im_waf,check_im1_local_auth,"No local auth concept on WAF data plane; not_applicable in baseline | Exa 2026-06-19: No local authentication concept on WAF data plane. WAF inspects HTTP/S traffic without performing authentication. Local auth methods (local user accounts, API keys) are not a WAF concept. not_applicable in MCSB v3 baseline. Source: https://learn.microsoft.com/en-us/azure/web-application-firewall/ag/ag-overview",waf,High,Wide,6
IM-3,Managed Identities,Not Applicable,Not Applicable,still_not_applicable,still_not_applicable,N/A,waf/im_waf,check_im3_managed_identities,"WAF policy makes no outbound Azure service calls requiring MI; not_applicable in baseline | Exa 2026-06-19: WAF Policy resource makes no outbound calls to Azure services that would require Managed Identity. Note: App Gateway supports MI for Key Vault certificate retrieval (DP-7 control) — that MI is on the App Gateway resource, not the WAF Policy resource. WAF Policy itself has no MI concept. not_applicable in MCSB v3 baseline. Source: https://learn.microsoft.com/en-us/azure/web-application-firewall/ag/ag-overview",waf,High,Wide,6
IM-3,Service Principals,Not Applicable,Not Applicable,still_not_applicable,still_not_applicable,N/A,waf/im_waf,check_im3_service_principals,"WAF policy makes no outbound calls requiring SP; not_applicable in baseline | Exa 2026-06-19: WAF Policy makes no outbound Azure service calls requiring Service Principal identity. Operators use SP or MI to manage WAF Policy via ARM (configure rules, exclusions, policy mode); that is a standard ARM RBAC concern (PA-7), not an IM-3 data plane identity assignment on the WAF Policy resource. not_applicable in MCSB v3 baseline. Source: https://learn.microsoft.com/en-us/azure/web-application-firewall/ag/ag-overview",waf,High,Wide,6
IM-7,Conditional Access for Data Plane,Not Applicable,Not Applicable,still_not_applicable,still_not_applicable,N/A,waf/im_waf,check_im7_conditional_access,WAF data plane is unauthenticated HTTP/S inspection; CA not applicable to data plane; not_applicable in baseline | Exa 2026-06-19: Conditional Access policies target authenticated Entra ID data planes (requiring Entra ID token). WAF data plane processes unauthenticated HTTP/S traffic (WAF blocks/allows requests at the network layer; user authentication happens at the backend application layer). CA not applicable to WAF data plane. not_applicable in MCSB v3 baseline. Source: https://learn.microsoft.com/en-us/azure/web-application-firewall/ag/ag-overview,waf,High,Wide,6
IM-8,Service Credential and Secrets Support Integration in Azure Key Vault,Not Applicable,Not Applicable,still_not_applicable,still_not_applicable,N/A,waf/im_waf,check_im8_keyvault_secrets,WAF policy has no credential store; KV integration not applicable; not_applicable in baseline | Exa 2026-06-19: WAF Policy resource has no credential or secret store requiring Key Vault integration. DP-7 covers KV certificate integration for TLS termination (separate control). IM-8 specifically covers service credentials/secrets — WAF has no such store. not_applicable in MCSB v3 baseline. Source: https://learn.microsoft.com/en-us/azure/web-application-firewall/ag/ag-overview,waf,High,Wide,6
LT-1,Microsoft Defender for Service,True,False,implemented,implemented,SecurityCenter.pricings(AppServices).pricing_tier,waf/lt_waf,check_lt1_defender,LIVE-SUB: SecurityCenter pricings AppServices Standard → WAF alerts surface in Defender for Cloud; Free → FAIL | MCSB v3 baseline confirmed: https://learn.microsoft.com/en-us/security/benchmark/azure/baselines/azure-web-application-firewall-security-baseline,waf,High,Wide,6
LT-4,Azure Resource Logs,True,False,implemented,implemented,diagnostic_settings.list(ag.id) → ApplicationGatewayFirewallLog,waf/lt_waf,check_lt4_resource_logs,LIVE-INDIRECT: DiagSettings on App Gateway (NOT on WAF policy.id — policy emits no logs); category ApplicationGatewayFirewallLog | MCSB v3 baseline confirmed: https://learn.microsoft.com/en-us/security/benchmark/azure/baselines/azure-web-application-firewall-security-baseline,waf,High,Wide,6
BR-1,Azure Backup,Not Applicable,Not Applicable,still_not_applicable,still_not_applicable,N/A,waf/br_waf,check_br1_azure_backup,"Azure Backup does not support WAF Policy as backup target; WAF policy config IaC-recoverable via ARM template export; not_applicable in baseline | Exa 2026-06-19: Azure Backup does not support WAF Policy as a backup target. Azure Backup supports VMs, SQL in VMs, SAP HANA, Azure Files, Azure Blobs, Azure Disks — not WAF Policy configuration. Recovery approach: WAF Policy configuration (managed rule sets, custom rules, exclusions, policy settings) can be re-created from exported ARM templates or IaC (Bicep/Terraform). not_applicable in MCSB v3 baseline. Source: https://learn.microsoft.com/en-us/azure/backup/backup-overview",waf,Medium,Wide,4
BR-1,Service Native Backup Capability,Not Applicable,Not Applicable,still_not_applicable,still_not_applicable,N/A,waf/br_waf,check_br1_native_backup,"No native backup; WAF policy (managed rule sets / custom rules / exclusions) IaC-recoverable; not_applicable in baseline | Exa 2026-06-19: WAF Policy has no native backup capability. Configuration is recoverable via ARM template export: managed rule sets (OWASP DRS version), custom rules (priority, match conditions, actions), policy settings (mode, state, request body check), and exclusion lists. Export ARM template from Azure Portal or via CLI: 'az network application-gateway waf-policy export'. not_applicable in MCSB v3 baseline. Source: https://learn.microsoft.com/en-us/azure/web-application-firewall/ag/ag-overview",waf,Medium,Wide,4
AM-2,Azure Policy Support,True,False,implemented,implemented,policy.tags,waf/am_waf,check_am2_policy,LIVE-DIRECT: tags proxy for Azure Policy governance; tags non-empty → PASS; empty → FAIL | MCSB v3 baseline confirmed: https://learn.microsoft.com/en-us/security/benchmark/azure/baselines/azure-web-application-firewall-security-baseline,waf,Medium,Wide,4
AM-5,Microsoft Defender for Cloud — Adaptive Application Controls,Not Applicable,Not Applicable,still_not_applicable,still_not_applicable,N/A,waf/am_waf,check_am5_defender_aac,PaaS configuration resource; AAC targets VMs and Arc servers; not_applicable | Exa 2026-06-19: Adaptive Application Controls in Microsoft Defender for Cloud target VMs and Azure Arc-enabled servers — they monitor and restrict applications running on compute workloads. WAF Policy is a PaaS configuration resource with no customer-accessible compute substrate. not_applicable. Source: https://learn.microsoft.com/en-us/azure/defender-for-cloud/adaptive-application-controls,waf,Medium,Wide,4
PA-1,Local Admin Accounts,Not Applicable,Not Applicable,still_not_applicable,still_not_applicable,N/A,waf/pa_waf,check_pa1_local_admin,"PaaS; no compute; no local admin concept on WAF Policy; not_applicable in baseline | Exa 2026-06-19: PaaS configuration resource with no compute substrate. No local administrative account concept exists on WAF Policy. All management access is via ARM with Entra ID. PA-1 (restrict local admin) targets compute services (VMs, servers). not_applicable in MCSB v3 baseline. Source: https://learn.microsoft.com/en-us/azure/web-application-firewall/ag/ag-overview",waf,High,Wide,6
PA-7,Azure RBAC for Data Plane,Not Applicable,Not Applicable,still_not_applicable,still_not_applicable,N/A,waf/pa_waf,check_pa7_rbac_data_plane,"WAF data plane = unauthenticated HTTP/S inspection; no data plane RBAC concept; management plane RBAC is standard ARM; not_applicable in baseline | Exa 2026-06-19: WAF data plane is unauthenticated HTTP/S traffic inspection — HTTP/S requests are not authenticated by WAF; WAF blocks/allows based on rules, not on caller identity. No data plane RBAC concept applies. Management plane access to WAF Policy resource uses standard Azure RBAC via ARM (roles: Network Contributor, custom role). This is a standard ARM control, not a WAF-specific data plane RBAC. not_applicable in MCSB v3 baseline. Source: https://learn.microsoft.com/en-us/azure/web-application-firewall/ag/ag-overview",waf,High,Wide,6
PA-8,Customer Lockbox,False,Not Applicable,still_not_applicable,still_not_applicable,N/A,waf/pa_waf,check_pa8_customer_lockbox,"Customer Lockbox not available for WAF Policy; feature_supported=False in MCSB v3 baseline | Exa 2026-06-19: Customer Lockbox is not available for Azure WAF Policy. feature_supported=False in MCSB v3 baseline. Customer Lockbox covers a specific set of Azure services (VMs, Storage, SQL DB, App Service, Azure Kubernetes Service, etc.); WAF Policy is not in that set. Microsoft support access to WAF infrastructure does not go through the Lockbox approval workflow. Source: https://learn.microsoft.com/en-us/azure/security/fundamentals/customer-lockbox-overview",waf,High,Wide,6
ES-1,Endpoint Detection and Response,Not Applicable,Not Applicable,still_not_applicable,still_not_applicable,N/A,waf/es_waf,check_es1_edr,PaaS configuration resource; no compute substrate; EDR targets VMs/servers; not_applicable | Network infrastructure resource with no customer-accessible compute layer. EDR/anti-malware deployment by customers is not applicable. Microsoft manages endpoint security at the underlying infrastructure level. Source: https://learn.microsoft.com/en-us/azure/security/fundamentals/infrastructure,waf,Medium,Wide,4
ES-2,Anti-Malware Solution,Not Applicable,Not Applicable,still_not_applicable,still_not_applicable,N/A,waf/es_waf,check_es2_antimalware,"PaaS configuration resource; no compute substrate; anti-malware not applicable | Exa 2026-06-19: PaaS configuration resource with no compute substrate. Anti-malware (Microsoft Defender Antivirus, MDE) targets compute workloads with accessible file systems and execution environments. WAF Policy managed infrastructure has no customer-accessible OS. not_applicable in MCSB v3 baseline. Source: https://learn.microsoft.com/en-us/azure/web-application-firewall/ag/ag-overview",waf,Medium,Wide,4
ES-3,Anti-Malware Solution Health Monitoring,Not Applicable,Not Applicable,still_not_applicable,still_not_applicable,N/A,waf/es_waf,check_es3_antimalware_health,"PaaS configuration resource; no compute substrate; health monitoring not applicable | Exa 2026-06-19: Anti-malware health monitoring presupposes an anti-malware solution is deployed. Since WAF Policy is a PaaS configuration resource with no customer compute substrate, neither anti-malware deployment nor health monitoring is applicable. not_applicable in MCSB v3 baseline. Source: https://learn.microsoft.com/en-us/azure/web-application-firewall/ag/ag-overview",waf,Medium,Wide,4
PV-3,Azure Automation State Configuration,Not Applicable,Not Applicable,still_not_applicable,still_not_applicable,N/A,waf/pv_waf,check_pv3_automation_state_config,PaaS; no OS/compute; DSC targets VMs and Arc servers; not_applicable | Exa 2026-06-19: Azure Automation State Configuration (DSC) manages desired state on VMs and Azure Arc-enabled servers. WAF Policy is a PaaS configuration resource with no customer-accessible OS or compute. not_applicable in MCSB v3 baseline. Source: https://learn.microsoft.com/en-us/azure/web-application-firewall/ag/ag-overview,waf,Low,Wide,2
PV-3,Azure Policy Guest Configuration Agent,Not Applicable,Not Applicable,still_not_applicable,still_not_applicable,N/A,waf/pv_waf,check_pv3_guest_config_agent,PaaS; no OS; Guest Config targets VMs/Arc; not_applicable | Exa 2026-06-19: Azure Policy Guest Configuration Agent audits and enforces OS-level settings on VMs and Arc-enabled servers. WAF Policy is a PaaS configuration resource with no customer-accessible OS. No guest configuration agent can be installed on WAF Policy managed infrastructure. not_applicable in MCSB v3 baseline. Source: https://learn.microsoft.com/en-us/azure/web-application-firewall/ag/ag-overview,waf,Low,Wide,2
PV-3,Custom Container Images,Not Applicable,Not Applicable,still_not_applicable,still_not_applicable,N/A,waf/pv_waf,check_pv3_custom_container_images,"PaaS; no container runtime in WAF Policy managed infrastructure; not_applicable | Exa 2026-06-19: WAF Policy managed infrastructure has no container runtime. Custom container image hardening (base image selection, vulnerability scanning) is not applicable. not_applicable in MCSB v3 baseline. Source: https://learn.microsoft.com/en-us/azure/web-application-firewall/ag/ag-overview",waf,Low,Wide,2
PV-3,Custom VM Images,Not Applicable,Not Applicable,still_not_applicable,still_not_applicable,N/A,waf/pv_waf,check_pv3_custom_vm_images,"PaaS; no VM substrate in WAF Policy managed infrastructure; not_applicable | Exa 2026-06-19: WAF Policy managed infrastructure has no customer-accessible VM substrate. Custom VM image hardening (OS baseline, CIS benchmarks, security-hardened marketplace images) is not applicable. not_applicable in MCSB v3 baseline. Source: https://learn.microsoft.com/en-us/azure/web-application-firewall/ag/ag-overview",waf,Low,Wide,2
PV-5,Vulnerability Assessment,Not Applicable,Not Applicable,still_not_applicable,still_not_applicable,N/A,waf/pv_waf,check_pv5_defender_va,"PaaS; no compute; Defender VA targets VMs/containers/SQL; not_applicable | Exa 2026-06-19: Microsoft Defender vulnerability assessment targets VMs (Qualys/MDVM), container registries, SQL servers, and App Service. WAF Policy is a PaaS configuration resource with no customer-accessible compute. VA scanning cannot be applied to WAF Policy managed infrastructure. not_applicable in MCSB v3 baseline. Source: https://learn.microsoft.com/en-us/azure/web-application-firewall/ag/ag-overview",waf,Low,Wide,2
PV-6,Azure Automation Update Management,Not Applicable,Not Applicable,still_not_applicable,still_not_applicable,N/A,waf/pv_waf,check_pv6_update_management,PaaS; no OS; Update Manager targets VMs; not_applicable | Exa 2026-06-19: Azure Update Manager (formerly Automation Update Management) applies OS and application patches to VMs and Arc-enabled servers. WAF Policy managed infrastructure has no customer-accessible OS — Microsoft manages the underlying infrastructure patching. not_applicable in MCSB v3 baseline. Source: https://learn.microsoft.com/en-us/azure/web-application-firewall/ag/ag-overview,waf,Low,Wide,2
