asb_control_id,feature_name,feature_supported_original,feature_enabled_by_default_original,status_2025,verdict_2025,azure_api_property,script_module,script_function,notes,service,severity,blast_radius,risk_rank
NS-1,Network Security Group Support,True,False,implemented,implemented,subnet.private_endpoint_network_policies,privatelink/ns_privatelink,check_ns1_nsg,LIVE-DIRECT: check subnet.private_endpoint_network_policies for PE subnet; default='Disabled' (NSG bypassed — most deployments FAIL); PASS if 'Enabled' or 'NetworkSecurityGroupEnabled'; cross-ref via subnets.get(rg vnet subnet) parsed from endpoint.subnet.id | MCSB v3 baseline confirmed: https://learn.microsoft.com/en-us/security/benchmark/azure/baselines/azure-private-link-security-baseline,privatelink,High,Wide,6
IM-1,Azure AD Authentication Required for Data Plane Access,Not Applicable,Not Applicable,still_not_applicable,still_not_applicable,N/A,privatelink/im_privatelink,check_im1_aad_auth,"PE has no data plane (NIC routing traffic to PaaS service); data plane auth belongs to connected service; not_applicable at PE resource level | Exa 2026-06-19: PE has no data plane. It is a NIC that routes TCP connections — it does not authenticate callers. Data plane authentication belongs to the connected PaaS service (e.g., Entra ID auth to Storage, SQL DB). Management plane access to the PE ARM resource uses standard Entra ID via ARM RBAC. not_applicable at PE resource level. Source: https://learn.microsoft.com/en-us/azure/private-link/private-endpoint-overview",privatelink,High,Wide,6
IM-1,Local Authentication Methods for Data Plane Access,Not Applicable,Not Applicable,still_not_applicable,still_not_applicable,N/A,privatelink/im_privatelink,check_im1_local_auth,"No local auth concept on PE; not_applicable at PE resource level | Exa 2026-06-19: No local authentication concept on PE data plane (PE has no data plane). No local user accounts, API keys, or connection strings belong to the PE NIC resource itself. not_applicable at PE resource level. Source: https://learn.microsoft.com/en-us/azure/private-link/private-endpoint-overview",privatelink,High,Wide,6
IM-3,Managed Identities,Not Applicable,Not Applicable,still_not_applicable,still_not_applicable,N/A,privatelink/im_privatelink,check_im3_managed_identities,"PE makes no outbound Azure service calls requiring MI; MI applies to workload consuming PE not to PE NIC; not_applicable at PE resource level | Exa 2026-06-19: PE makes no outbound Azure service calls that would require a Managed Identity. The workload (VM, App Service) that uses the PE to reach a PaaS service may use MI — but that MI assignment is on the workload, not on the PE NIC itself. not_applicable at PE resource level. Source: https://learn.microsoft.com/en-us/azure/private-link/private-endpoint-overview",privatelink,High,Wide,6
IM-3,Service Principals,Not Applicable,Not Applicable,still_not_applicable,still_not_applicable,N/A,privatelink/im_privatelink,check_im3_service_principals,"PE makes no outbound Azure service calls requiring SP; not_applicable at PE resource level | Exa 2026-06-19: PE makes no outbound Azure service calls requiring Service Principal identity. SP usage for automation (e.g., Terraform provisioning PE) is a management plane concern covered by ARM RBAC, not an IM-3 data plane identity assignment on the PE resource. not_applicable at PE resource level. Source: https://learn.microsoft.com/en-us/azure/private-link/private-endpoint-overview",privatelink,High,Wide,6
IM-7,Conditional Access for Data Plane,Not Applicable,Not Applicable,still_not_applicable,still_not_applicable,N/A,privatelink/im_privatelink,check_im7_conditional_access,"PE has no Entra ID-authenticated data plane; CA targets authenticated data planes; applies to connected service not PE NIC; not_applicable at PE resource level | Exa 2026-06-19: Conditional Access policies target authenticated Entra ID data planes (requiring Entra ID token). PE has no data plane — it routes TCP connections without authenticating callers. CA applies to the connected PaaS service data plane, not to the PE NIC. not_applicable at PE resource level. Source: https://learn.microsoft.com/en-us/azure/private-link/private-endpoint-overview",privatelink,High,Wide,6
IM-8,Service Credential and Secrets Support Integration in Azure Key Vault,Not Applicable,Not Applicable,still_not_applicable,still_not_applicable,N/A,privatelink/im_privatelink,check_im8_keyvault_secrets,"PE has no credential or secret store; KV integration not applicable at PE resource level | Exa 2026-06-19: PE has no credential or secret store. No connection strings, API keys, or credentials belong to the PE NIC resource. IM-8 integration with KV applies to the connected PaaS service. not_applicable at PE resource level. Source: https://learn.microsoft.com/en-us/azure/private-link/private-endpoint-overview",privatelink,High,Wide,6
LT-1,Microsoft Defender for Service,Not Applicable,Not Applicable,still_not_applicable,still_not_applicable,N/A,privatelink/lt_privatelink,check_lt1_defender,"No Microsoft Defender plan for Private Link as a service; Defender covers connected PaaS services; feature_supported=Not Applicable in MCSB v3 baseline | Exa 2026-06-19: No Microsoft Defender plan exists for Private Link/Private Endpoint as a service. Microsoft Defender for Cloud monitors the connected PaaS services (Defender for Storage, SQL, App Services, etc.). PE itself generates no telemetry that Defender would ingest. feature_supported=Not Applicable in MCSB v3 baseline. not_applicable at PE resource level. Source: https://learn.microsoft.com/en-us/azure/private-link/private-endpoint-overview",privatelink,High,Wide,6
LT-4,Azure Resource Logs,False,Not Applicable,still_not_applicable,still_not_applicable,N/A,privatelink/lt_privatelink,check_lt4_resource_logs,"PE resource emits NO resource logs (feature_supported=False in MCSB v3 baseline); DiagSettings on PE.id returns no categories; network traffic via NSG Flow Logs on PE subnet | Exa 2026-06-19: Private Endpoint resource emits NO resource logs. feature_supported=False in MCSB v3 baseline (this is a direct 'False' not 'Not Applicable'). DiagnosticSettings on PE.id will return no log categories. Network traffic for PEs is observable via NSG Flow Logs configured on the PE subnet (this is an NS control, not LT). Private DNS Zone resolution for PEs can be monitored via Azure DNS Private Resolver logs. not_applicable at PE resource level. Source: https://learn.microsoft.com/en-us/azure/private-link/private-endpoint-dns-integration",privatelink,High,Wide,6
BR-1,Azure Backup,Not Applicable,Not Applicable,still_not_applicable,still_not_applicable,N/A,privatelink/br_privatelink,check_br1_azure_backup,"Azure Backup does not support PE as backup target; PE config (subnet DNS approval state) IaC-recoverable via ARM template export; not_applicable in baseline | Exa 2026-06-19: Azure Backup does not support Private Endpoint as a backup target. Azure Backup covers VMs, SQL in VMs, SAP HANA, Azure Files, Azure Blobs, Azure Disks — not PE NICs. Recovery: PE configuration (target resource ID, subnet reference, private DNS zone group, approval state) is recoverable from IaC (Bicep/Terraform/ARM template export). not_applicable in MCSB v3 baseline. Source: https://learn.microsoft.com/en-us/azure/backup/backup-overview",privatelink,Medium,Wide,4
BR-1,Service Native Backup Capability,Not Applicable,Not Applicable,still_not_applicable,still_not_applicable,N/A,privatelink/br_privatelink,check_br1_native_backup,"No native backup; PE config (target resource ID subnet DNS group) is declarative and IaC-recoverable; not_applicable in baseline | Exa 2026-06-19: No native backup capability for PE. All configuration is declarative: target resource ID (e.g., Storage account ID), group ID (e.g., 'blob'), subnet reference, private DNS zone group name and zone ID. Export ARM template: 'az network private-endpoint show --rg <rg> --name <name>'. IaC-recoverable. not_applicable in baseline. Source: https://learn.microsoft.com/en-us/azure/private-link/private-endpoint-overview",privatelink,Medium,Wide,4
AM-2,Azure Policy Support,True,False,implemented,implemented,endpoint.tags,privatelink/am_privatelink,check_am2_policy,LIVE-DIRECT: tags proxy for Azure Policy governance; tags non-empty → PASS; empty → FAIL | MCSB v3 baseline confirmed: https://learn.microsoft.com/en-us/security/benchmark/azure/baselines/azure-private-link-security-baseline,privatelink,Medium,Wide,4
AM-5,Microsoft Defender for Cloud — Adaptive Application Controls,Not Applicable,Not Applicable,still_not_applicable,still_not_applicable,N/A,privatelink/am_privatelink,check_am5_defender_aac,PaaS NIC resource; no VM compute substrate; AAC targets VMs and Arc servers; not_applicable | Exa 2026-06-19: Adaptive Application Controls target VMs and Azure Arc-enabled servers to monitor and restrict which applications run on compute workloads. PE is a PaaS NIC resource with no customer-accessible compute substrate. not_applicable at PE resource level. Source: https://learn.microsoft.com/en-us/azure/defender-for-cloud/adaptive-application-controls,privatelink,Medium,Wide,4
PA-1,Local Admin Accounts,Not Applicable,Not Applicable,still_not_applicable,still_not_applicable,N/A,privatelink/pa_privatelink,check_pa1_local_admin,"PaaS NIC resource; no compute substrate; no local administrative account concept on PE; not_applicable in baseline | Exa 2026-06-19: PaaS NIC resource with no compute substrate. No local administrative account concept exists on Private Endpoint. All management access is via ARM with Entra ID. PA-1 targets compute services (VMs, servers). not_applicable in MCSB v3 baseline. Source: https://learn.microsoft.com/en-us/azure/private-link/private-endpoint-overview",privatelink,High,Wide,6
PA-7,Azure RBAC for Data Plane,Not Applicable,Not Applicable,still_not_applicable,still_not_applicable,N/A,privatelink/pa_privatelink,check_pa7_rbac_data_plane,"PE has no data plane (NIC routing traffic); data plane RBAC not applicable; management plane uses standard ARM RBAC (Network Contributor); not_applicable in baseline | Exa 2026-06-19: PE has no data plane (it routes TCP connections; it does not authenticate callers). Data plane RBAC concept does not apply. Management plane access uses standard Azure RBAC via ARM: Network Contributor role can manage PE; custom roles can be scoped. This is a standard ARM control, not a PE-specific data plane RBAC. not_applicable in MCSB v3 baseline. Source: https://learn.microsoft.com/en-us/azure/private-link/private-endpoint-overview",privatelink,High,Wide,6
PA-8,Customer Lockbox,Not Applicable,Not Applicable,still_not_applicable,still_not_applicable,N/A,privatelink/pa_privatelink,check_pa8_customer_lockbox,"Customer Lockbox not available for Private Endpoint; not in Lockbox supported service list; not_applicable in baseline | Exa 2026-06-19: Customer Lockbox is not available for Private Endpoint. feature_supported=Not Applicable in MCSB v3 baseline. Lockbox covers specific Azure services (VMs, Storage, SQL DB, App Service, AKS, etc.); PE is not in that set. Microsoft support access to PE infrastructure does not go through the Lockbox approval workflow. not_applicable in baseline. Source: https://learn.microsoft.com/en-us/azure/security/fundamentals/customer-lockbox-overview",privatelink,High,Wide,6
ES-1,Endpoint Detection and Response,Not Applicable,Not Applicable,still_not_applicable,still_not_applicable,N/A,privatelink/es_privatelink,check_es1_edr,PaaS NIC resource; no compute substrate; EDR targets VMs/servers; not_applicable | Network infrastructure resource with no customer-accessible compute layer. EDR/anti-malware deployment by customers is not applicable. Microsoft manages endpoint security at the underlying infrastructure level. Source: https://learn.microsoft.com/en-us/azure/security/fundamentals/infrastructure,privatelink,Medium,Wide,4
ES-2,Anti-Malware Solution,Not Applicable,Not Applicable,still_not_applicable,still_not_applicable,N/A,privatelink/es_privatelink,check_es2_antimalware,"PaaS NIC resource; no compute substrate; anti-malware targets compute workloads; not_applicable | Exa 2026-06-19: PaaS NIC resource with no compute substrate. Anti-malware (Microsoft Defender Antivirus, MDE) targets compute workloads with accessible file systems and execution environments. PE has no customer-accessible OS. not_applicable. Source: https://learn.microsoft.com/en-us/azure/private-link/private-endpoint-overview",privatelink,Medium,Wide,4
ES-3,Anti-Malware Solution Health Monitoring,Not Applicable,Not Applicable,still_not_applicable,still_not_applicable,N/A,privatelink/es_privatelink,check_es3_antimalware_health,"PaaS NIC resource; no compute substrate; health monitoring presupposes anti-malware on compute; not_applicable | Exa 2026-06-19: Anti-malware health monitoring presupposes an anti-malware solution deployed on compute. Since PE is a PaaS NIC resource with no customer compute substrate, neither anti-malware deployment nor health monitoring is applicable. not_applicable. Source: https://learn.microsoft.com/en-us/azure/private-link/private-endpoint-overview",privatelink,Medium,Wide,4
PV-3,Azure Automation State Configuration,Not Applicable,Not Applicable,still_not_applicable,still_not_applicable,N/A,privatelink/pv_privatelink,check_pv3_automation_state_config,PaaS NIC; no OS/compute; DSC targets VMs and Arc servers; not_applicable | Exa 2026-06-19: Azure Automation State Configuration (DSC) manages desired state on VMs and Azure Arc-enabled servers. PE is a PaaS NIC resource with no customer-accessible OS or compute. not_applicable. Source: https://learn.microsoft.com/en-us/azure/private-link/private-endpoint-overview,privatelink,Low,Wide,2
PV-3,Azure Policy Guest Configuration Agent,Not Applicable,Not Applicable,still_not_applicable,still_not_applicable,N/A,privatelink/pv_privatelink,check_pv3_guest_config_agent,PaaS NIC; no OS; Guest Config targets VMs/Arc; not_applicable | Exa 2026-06-19: Azure Policy Guest Configuration Agent audits and enforces OS-level settings on VMs and Arc-enabled servers. PE is a PaaS NIC resource with no customer-accessible OS. No guest configuration agent can be installed on PE managed infrastructure. not_applicable. Source: https://learn.microsoft.com/en-us/azure/private-link/private-endpoint-overview,privatelink,Low,Wide,2
PV-3,Custom Container Images,Not Applicable,Not Applicable,still_not_applicable,still_not_applicable,N/A,privatelink/pv_privatelink,check_pv3_custom_container_images,PaaS NIC; no container runtime in PE managed infrastructure; not_applicable | Exa 2026-06-19: PE managed infrastructure has no container runtime. Custom container image hardening not applicable. not_applicable. Source: https://learn.microsoft.com/en-us/azure/private-link/private-endpoint-overview,privatelink,Low,Wide,2
PV-3,Custom VM Images,Not Applicable,Not Applicable,still_not_applicable,still_not_applicable,N/A,privatelink/pv_privatelink,check_pv3_custom_vm_images,PaaS NIC; no VM substrate in PE managed infrastructure; not_applicable | Exa 2026-06-19: PE managed infrastructure has no customer-accessible VM substrate. Custom VM image hardening not applicable. not_applicable. Source: https://learn.microsoft.com/en-us/azure/private-link/private-endpoint-overview,privatelink,Low,Wide,2
PV-5,Vulnerability Assessment,Not Applicable,Not Applicable,still_not_applicable,still_not_applicable,N/A,privatelink/pv_privatelink,check_pv5_defender_va,"PaaS NIC; no compute; Defender VA targets VMs/containers/SQL; not_applicable | Exa 2026-06-19: Microsoft Defender vulnerability assessment targets VMs (Qualys/MDVM), container registries, SQL servers, and App Service. PE is a PaaS NIC resource with no customer-accessible compute. VA scanning cannot be applied to PE managed infrastructure. not_applicable. Source: https://learn.microsoft.com/en-us/azure/private-link/private-endpoint-overview",privatelink,Low,Wide,2
PV-6,Azure Automation Update Management,Not Applicable,Not Applicable,still_not_applicable,still_not_applicable,N/A,privatelink/pv_privatelink,check_pv6_update_management,PaaS NIC; no OS; Update Manager targets VMs; Microsoft manages underlying PE infrastructure patching; not_applicable | Exa 2026-06-19: Azure Update Manager applies OS and application patches to VMs and Arc-enabled servers. PE managed infrastructure has no customer-accessible OS — Microsoft manages the underlying infrastructure patching. not_applicable. Source: https://learn.microsoft.com/en-us/azure/private-link/private-endpoint-overview,privatelink,Low,Wide,2
