Work Item Type,Title,Parent Title,Tags,Story Points,Description
User Story,"[SEC-NS-2] Secure Cloud Native Services: Databricks","[SEC-NS] Network Security — MCSB v2","MCSB-v2; NS; v3; v2-paired; azure-infra-sec",,Assess NS-2 controls for Databricks: VNet injection (no-public-IP mode); private endpoints for workspace and storage; NSG rules per Databricks requirements; secure cluster connectivity.
User Story,"[SEC-NS-2] Secure Cloud Native Services: Digital Twins","[SEC-NS] Network Security — MCSB v2","MCSB-v2; NS; v3; v2-paired; azure-infra-sec",,Assess NS-2 controls for Digital Twins: private endpoint; disable public network access; RBAC over API keys; event routing via private Event Grid topic.
User Story,"[SEC-NS-2] Secure Cloud Native Services: Event Grid","[SEC-NS] Network Security — MCSB v2","MCSB-v2; NS; v3; v2-paired; azure-infra-sec",,Assess NS-2 controls for Event Grid: private endpoint for topics/domains; disable public network access; managed identity for event delivery; subscriber HTTPS endpoint enforcement.
User Story,"[SEC-NS-2] Secure Cloud Native Services: Event Hubs","[SEC-NS] Network Security — MCSB v2","MCSB-v2; NS; v3; v2-paired; azure-infra-sec",,Assess NS-2 controls for Event Hubs: private endpoint; disable public network access; managed identity (no SAS keys); IP firewall; TLS 1.2 minimum.
User Story,"[SEC-NS-2] Secure Cloud Native Services: File Sync","[SEC-NS] Network Security — MCSB v2","MCSB-v2; NS; v3; v2-paired; azure-infra-sec",,Assess NS-2 controls for Azure File Sync: storage firewall rules; private endpoint for sync service; TLS for all data transfer; registered server auth via Azure AD.
User Story,"[SEC-NS-2] Secure Cloud Native Services: Functions","[SEC-NS] Network Security — MCSB v2","MCSB-v2; NS; v3; v2-paired; azure-infra-sec",,Assess NS-2 controls for Azure Functions: VNet integration; private endpoints for storage triggers; inbound access restrictions; HTTPS-only; FTP disabled; managed identity for bindings.
User Story,"[SEC-NS-2] Secure Cloud Native Services: HPC Cache","[SEC-NS] Network Security — MCSB v2","MCSB-v2; NS; v3; v2-paired; azure-infra-sec",,Assess NS-2 controls for HPC Cache: VNet deployment; subnet isolation; no public endpoint; storage target access via private routing; client subnet restrictions.
User Story,"[SEC-NS-2] Secure Cloud Native Services: Logic Apps","[SEC-NS] Network Security — MCSB v2","MCSB-v2; NS; v3; v2-paired; azure-infra-sec",,Assess NS-2 controls for Logic Apps (Standard): VNet integration; private endpoint; IP restriction for trigger/callback access; managed identity for connector auth; no hardcoded credentials.
User Story,"[SEC-NS-2] Secure Cloud Native Services: Machine Learning Service","[SEC-NS] Network Security — MCSB v2","MCSB-v2; NS; v3; v2-paired; azure-infra-sec",,Assess NS-2 controls for Azure Machine Learning: VNet-isolated workspace; private endpoint; no public workspace access; compute cluster/instance in VNet; no public IP on compute.
User Story,"[SEC-NS-2] Secure Cloud Native Services: Managed Lustre","[SEC-NS] Network Security — MCSB v2","MCSB-v2; NS; v3; v2-paired; azure-infra-sec",,Assess NS-2 controls for Azure Managed Lustre: VNet integration; subnet isolation; no public endpoint; NSG rules for client access restriction; storage backend via private routing.
User Story,"[SEC-NS-2] Secure Cloud Native Services: Notification Hubs","[SEC-NS] Network Security — MCSB v2","MCSB-v2; NS; v3; v2-paired; azure-infra-sec",,Assess NS-2 controls for Notification Hubs: namespace IP firewall; managed identity for backend API connections; TLS for push notification delivery; no SAS key exposure.
User Story,"[SEC-NS-2] Secure Cloud Native Services: Remote Rendering","[SEC-NS] Network Security — MCSB v2","MCSB-v2; NS; v3; v2-paired; azure-infra-sec",,Assess NS-2 controls for Azure Remote Rendering: VNet-based session connectivity; managed identity auth; restrict session access to authorized clients; TLS for streaming.
User Story,"[SEC-NS-2] Secure Cloud Native Services: Service Bus","[SEC-NS] Network Security — MCSB v2","MCSB-v2; NS; v3; v2-paired; azure-infra-sec",,Assess NS-2 controls for Service Bus: private endpoint; disable public network access; managed identity (no SAS keys for app auth); IP firewall rules; TLS 1.2 minimum.
User Story,"[SEC-NS-2] Secure Cloud Native Services: SignalR Service","[SEC-NS] Network Security — MCSB v2","MCSB-v2; NS; v3; v2-paired; azure-infra-sec",,Assess NS-2 controls for SignalR Service: private endpoint; disable public network access; managed identity for upstream auth; serverless mode connectivity via private link.
User Story,"[SEC-NS-2] Secure Cloud Native Services: Spring Apps","[SEC-NS] Network Security — MCSB v2","MCSB-v2; NS; v3; v2-paired; azure-infra-sec",,Assess NS-2 controls for Azure Spring Apps: VNet injection; private endpoint; disable public test endpoint; outbound UDR via Azure Firewall; app-level network isolation.
User Story,"[SEC-NS-2] Secure Cloud Native Services: Web PubSub","[SEC-NS] Network Security — MCSB v2","MCSB-v2; NS; v3; v2-paired; azure-infra-sec",,Assess NS-2 controls for Azure Web PubSub: private endpoint; disable public network access; managed identity for upstream webhook auth; TLS for client connections.
User Story,"[SEC-NS-2] Secure Cloud Native Services: Batch","[SEC-NS] Network Security — MCSB v2","MCSB-v2; NS; v3; v2-paired; azure-infra-sec",,Assess NS-2 controls for Azure Batch: VNet pool deployment; no public IP on compute nodes; private endpoint for Batch account; managed identity on pools (no storage keys).
User Story,"[SEC-NS-2] Secure Cloud Native Services: Cognitive Services","[SEC-NS] Network Security — MCSB v2","MCSB-v2; NS; v3; v2-paired; azure-infra-sec",,Assess NS-2 controls for Cognitive Services (AI Services): private endpoint; disable public network access; managed identity for client auth; VNet service endpoint where private endpoint not supported.
User Story,"[SEC-NS-2] Secure Cloud Native Services: Content Delivery Network","[SEC-NS] Network Security — MCSB v2","MCSB-v2; NS; v3; v2-paired; azure-infra-sec",,Assess NS-2 controls for Content Delivery Network: HTTPS-only delivery rules; custom domain TLS; WAF policy via Front Door CDN; origin access control (restrict origin to CDN only).
User Story,"[SEC-NS-3] Deploy Firewall at Edge of Enterprise Network: Firewall","[SEC-NS] Network Security — MCSB v2","MCSB-v2; NS; v3; v2-paired; azure-infra-sec",,Assess NS-3 controls for Azure Firewall: Premium SKU with IDPS (Alert+Deny); Threat Intelligence enabled; centralized hub deployment; policy hierarchy (parent + child); diagnostic logging to Log Analytics.
User Story,"[SEC-NS-3] Deploy Firewall at Edge of Enterprise Network: Firewall Manager","[SEC-NS] Network Security — MCSB v2","MCSB-v2; NS; v3; v2-paired; azure-infra-sec",,Assess NS-3 controls for Firewall Manager: centralized policy management across hubs; secured virtual hub configuration; DDoS plan association; route intent enforcement for spoke traffic.
User Story,"[SEC-NS-3] Deploy Firewall at Edge of Enterprise Network: Stack Edge","[SEC-NS] Network Security — MCSB v2","MCSB-v2; NS; v3; v2-paired; azure-infra-sec",,Assess NS-3 controls for Azure Stack Edge: physical edge local firewall configuration; VPN for cloud connectivity; local user access restriction; firmware update management.
User Story,"[SEC-NS-4] Deploy Intrusion Detection/Prevention Systems","[SEC-NS] Network Security — MCSB v2","MCSB-v2; NS; v2-native; azure-infra-sec",,Enable Azure Firewall Premium IDPS in Alert+Deny mode across all hub firewalls. Signature updates automatic. Alert integration to Sentinel. IDPS alert cadence and false-positive tuning reviewed quarterly.
User Story,"[SEC-NS-5] Deploy DDoS Protection: DDoS Protection","[SEC-NS] Network Security — MCSB v2","MCSB-v2; NS; v3; v2-paired; azure-infra-sec",,Assess NS-5 controls for Azure DDoS Protection: Network Protection Standard on all VNets with public IPs; DDoS diagnostic logs to Log Analytics; metric alerts for DDoS attack start/end events.
User Story,"[SEC-NS-5] Deploy DDoS Protection: Public IP","[SEC-NS] Network Security — MCSB v2","MCSB-v2; NS; v3; v2-paired; azure-infra-sec",,Assess NS-5 controls for Public IP: DDoS Network Protection Standard association; monitoring for DDoS attack events; unnecessary PIPs removed; Standard SKU only (no Basic PIPs).
User Story,"[SEC-NS-6] Deploy Web Application Firewall: Application Gateway","[SEC-NS] Network Security — MCSB v2","MCSB-v2; NS; v3; v2-paired; azure-infra-sec",,Assess NS-6 controls for Application Gateway: WAF v2 Prevention mode; OWASP CRS 3.2; bot protection ruleset; SSL offload TLS 1.2+; WAF diagnostic logging to Sentinel.
User Story,"[SEC-NS-6] Deploy Web Application Firewall: Front Door","[SEC-NS] Network Security — MCSB v2","MCSB-v2; NS; v3; v2-paired; azure-infra-sec",,Assess NS-6 controls for Azure Front Door: WAF policy Prevention mode; managed DefaultRuleSet; bot management; DDoS protection; HTTPS redirect enforced; origin access control.
User Story,"[SEC-NS-6] Deploy Web Application Firewall: Web Application Firewall","[SEC-NS] Network Security — MCSB v2","MCSB-v2; NS; v3; v2-paired; azure-infra-sec",,Assess NS-6 controls for Azure WAF (standalone policy): Prevention mode; rule group review; custom rules for org-specific threats; exclusion list governed and reviewed.
User Story,"[SEC-NS-7] Simplify Network Security Configuration: Network Watcher","[SEC-NS] Network Security — MCSB v2","MCSB-v2; NS; v3; v2-paired; azure-infra-sec",,Assess NS-7 controls for Network Watcher: NSG flow logs v2 on all NSGs → Storage + Traffic Analytics; connection monitor for critical service paths; packet capture policy; effective routes validation.
User Story,"[SEC-NS-8] Detect and Disable Insecure Services and Protocols","[SEC-NS] Network Security — MCSB v2","MCSB-v2; NS; v2-native; azure-infra-sec",,Enumerate and disable TLS 1.0/1.1; SSLv3; unencrypted HTTP; FTP; Telnet; SMBv1 across all Azure services. Azure Policy: enforce TLS minimum version. Defender for Cloud: insecure protocol recommendations reviewed.
User Story,"[SEC-NS-9] Connect On-Premises or Cloud Network Privately: VPN Gateway","[SEC-NS] Network Security — MCSB v2","MCSB-v2; NS; v3; v2-paired; azure-infra-sec",,Assess NS-9 controls for VPN Gateway: IKEv2 protocol; BGP authentication (MD5); certificate-based auth; VPN diagnostic logs to Log Analytics; no Basic SKU.
User Story,"[SEC-NS-9] Connect On-Premises or Cloud Network Privately: Private Link","[SEC-NS] Network Security — MCSB v2","MCSB-v2; NS; v3; v2-paired; azure-infra-sec",,Assess NS-9 controls for Azure Private Link: service endpoint vs private endpoint gap assessment; DNS zone group configuration; network policies on subnet; approval workflow for cross-tenant connections.
User Story,"[SEC-NS-9] Connect On-Premises or Cloud Network Privately: Bastion","[SEC-NS] Network Security — MCSB v2","MCSB-v2; NS; v3; v2-paired; azure-infra-sec",,Assess NS-9 controls for Azure Bastion: Premium SKU; shareable link disabled; session recording enabled; audit logging to Log Analytics; restricted RBAC for Bastion resource.
User Story,"[SEC-NS-9] Connect On-Premises or Cloud Network Privately: Virtual Desktop","[SEC-NS] Network Security — MCSB v2","MCSB-v2; NS; v3; v2-paired; azure-infra-sec",,Assess NS-9 controls for Azure Virtual Desktop: private endpoint for host pool; RDP Shortpath enabled; session host VNet isolation; MFA via Conditional Access for WVD access.
User Story,"[SEC-NS-9] Connect On-Premises or Cloud Network Privately: Nutanix on Azure","[SEC-NS] Network Security — MCSB v2","MCSB-v2; NS; v3; v2-paired; azure-infra-sec",,Assess NS-9 controls for Nutanix on Azure: dedicated VNet; no public IP on Nutanix nodes; Azure Firewall egress control; Nutanix security hardening for management plane.
User Story,"[SEC-NS-9] Connect On-Premises or Cloud Network Privately: VMware Solution","[SEC-NS] Network Security — MCSB v2","MCSB-v2; NS; v3; v2-paired; azure-infra-sec",,Assess NS-9 controls for Azure VMware Solution: ExpressRoute private connectivity; NSX-T microsegmentation for VM workloads; management network isolation; no public access to vCenter/NSX.
User Story,"[SEC-NS-10] Ensure Domain Name System (DNS) Security: DNS","[SEC-NS] Network Security — MCSB v2","MCSB-v2; NS; v3; v2-paired; azure-infra-sec",,Assess NS-10 controls for Azure DNS: Private DNS zones for all private endpoints; no public zone for internal resources; conditional forwarder via DNS Private Resolver; Defender for DNS monitoring.
User Story,"[SEC-IM-1] Use Centralized Identity and Authentication System: Active Directory Domain Services","[SEC-IM] Identity Management — MCSB v2","MCSB-v2; IM; v3; v2-paired; azure-infra-sec",,Assess IM-1 controls for Active Directory Domain Services: AAD Connect health monitoring; hybrid identity sync security; LDAP over TLS (636); domain controller hardening; Tier-0 asset protection.
User Story,"[SEC-IM-2] Protect Identity and Authentication Systems","[SEC-IM] Identity Management — MCSB v2","MCSB-v2; IM; v2-native; azure-infra-sec",,Enable Azure AD Identity Protection: user risk and sign-in risk policies (High → block; Medium → MFA). Risky user/sign-in alerts → Sentinel. Smart lockout policy enforced. AAD Connect Health monitoring active.
User Story,"[SEC-IM-3] Manage Application Identities Securely and Automatically: Bot Service","[SEC-IM] Identity Management — MCSB v2","MCSB-v2; IM; v3; v2-paired; azure-infra-sec",,Assess IM-3 controls for Bot Service: managed identity for bot auth (no stored credentials); Azure AD token validation for Direct Line; HTTPS enforcement on all bot channels.
User Story,"[SEC-IM-3] Manage Application Identities Securely and Automatically: Universal Print","[SEC-IM] Identity Management — MCSB v2","MCSB-v2; IM; v3; v2-paired; azure-infra-sec",,Assess IM-3 controls for Universal Print: managed identity for print connector authentication; Azure AD group-based print queue access control; no shared credentials for printer registration.
User Story,"[SEC-IM-4] Authenticate Server and Services: Attestation","[SEC-IM] Identity Management — MCSB v2","MCSB-v2; IM; v3; v2-paired; azure-infra-sec",,Assess IM-4 controls for Azure Attestation: mTLS for attestation requests; policy signing with approved certificates; audit logging; private endpoint for attestation service endpoint.
User Story,"[SEC-IM-4] Authenticate Server and Services: Trusted Hardware Identity Management","[SEC-IM] Identity Management — MCSB v2","MCSB-v2; IM; v3; v2-paired; azure-infra-sec",,Assess IM-4 controls for Trusted Hardware Identity Management: hardware identity certificate chain validation; managed identity integration; audit logging of certificate issuance and renewal.
User Story,"[SEC-IM-5] Use Single Sign-On (SSO) for Application Access: API Management","[SEC-IM] Identity Management — MCSB v2","MCSB-v2; IM; v3; v2-paired; azure-infra-sec",,Assess IM-5 controls for API Management: OAuth2/OIDC for API consumer SSO; managed identity for backend service auth; subscription key rotation policy; developer portal Azure AD integration.
User Story,"[SEC-IM-6] Use Strong Authentication Controls","[SEC-IM] Identity Management — MCSB v2","MCSB-v2; IM; v2-native; azure-infra-sec",,Enforce MFA via Conditional Access for all users. Block legacy authentication protocols via CA policy. Phishing-resistant MFA (FIDO2/Windows Hello) for privileged users. Number matching + additional context for Authenticator push notifications.
User Story,"[SEC-IM-7] Restrict Resource Access Based on Conditions: Spatial Anchors","[SEC-IM] Identity Management — MCSB v2","MCSB-v2; IM; v3; v2-paired; azure-infra-sec",,Assess IM-7 controls for Azure Spatial Anchors: Conditional Access for spatial anchor access tokens; RBAC for account management; audit logging of anchor access.
User Story,"[SEC-IM-8] Restrict the Exposure of Credential and Secrets","[SEC-IM] Identity Management — MCSB v2","MCSB-v2; IM; v2-native; azure-infra-sec",,All secrets in Key Vault (no plaintext in configs; code; env vars; ADO pipelines). Secret scanning via Defender for DevOps. Service principal secrets: 90-day expiry; automated rotation. Storage shared key auth disabled where feasible.
User Story,"[SEC-PA-1] Separate and Limit Highly Privileged Users","[SEC-PA] Privileged Access — MCSB v2","MCSB-v2; PA; v2-native; azure-infra-sec",,Inventory all Global Admin; Subscription Owner; and high-privilege role holders. Target: <5 Global Admins. Cloud-only privileged accounts. PIM for all eligible role assignments. Privileged role reduction exercise tracked.
User Story,"[SEC-PA-2] Avoid Standing Access: Automation","[SEC-PA] Privileged Access — MCSB v2","MCSB-v2; PA; v3; v2-paired; azure-infra-sec",,Assess PA-2 controls for Azure Automation: managed identity replacing deprecated RunAs accounts; JIT runbook execution scheduling; private endpoint for Automation account; audit logging of runbook executions.
User Story,"[SEC-PA-3] Manage Lifecycle of Identities and Entitlements","[SEC-PA] Privileged Access — MCSB v2","MCSB-v2; PA; v2-native; azure-infra-sec",,Entitlement Management: access packages with approval workflow. Automated provisioning/deprovisioning via SCIM. Joiner-Mover-Leaver process defined. Stale account detection (90+ days → auto-disable). Guest account expiry policy (30 days unless renewed).
User Story,"[SEC-PA-4] Review and Reconcile User Access Regularly","[SEC-PA] Privileged Access — MCSB v2","MCSB-v2; PA; v2-native; azure-infra-sec",,Azure AD Access Reviews: quarterly for privileged roles; semi-annual for group memberships. Reviewer = line manager or resource owner. Auto-deny on no response. Review results feed into deprovisioning workflow.
User Story,"[SEC-PA-5] Set Up Emergency Access","[SEC-PA] Privileged Access — MCSB v2","MCSB-v2; PA; v2-native; azure-infra-sec",,Two break-glass accounts: Global Admin; cloud-only; no MFA shared with production. Passwords in two physically separate secure locations. Excluded from all CA policies. Sign-in monitored. Tested and validated quarterly.
User Story,"[SEC-PA-6] Use Privileged Access Workstations: Cloud Shell","[SEC-PA] Privileged Access — MCSB v2","MCSB-v2; PA; v3; v2-paired; azure-infra-sec",,Assess PA-6 controls for Cloud Shell: launched only from PAW or Bastion (CA policy: require compliant device); storage account with private endpoint; RBAC on storage account; session audit logging enabled.
User Story,"[SEC-PA-7] Follow Just Enough Administration (Least Privilege): Lighthouse","[SEC-PA] Privileged Access — MCSB v2","MCSB-v2; PA; v3; v2-paired; azure-infra-sec",,Assess PA-7 controls for Azure Lighthouse: managed tenant delegations reviewed for least-privilege roles; no Owner delegation (Contributor max); delegation audit logs reviewed quarterly; customer approval workflow.
User Story,"[SEC-PA-8] Choose Approval Process for Microsoft Support Access: Customer Lockbox","[SEC-PA] Privileged Access — MCSB v2","MCSB-v2; PA; v3; v2-paired; azure-infra-sec",,Assess PA-8 controls for Customer Lockbox: Lockbox enabled at tenant; approver role assigned; approval SLA (12h auto-deny); Lockbox request audit log routed to Sentinel.
User Story,"[SEC-DP-1] Discover, Classify, and Label Sensitive Data: Information Protection","[SEC-DP] Data Protection — MCSB v2","MCSB-v2; DP; v3; v2-paired; azure-infra-sec",,Assess DP-1 controls for Microsoft Information Protection: sensitivity labels (Public/Internal/Confidential/Restricted); auto-labeling policies; label inheritance for data copied to Azure storage.
User Story,"[SEC-DP-1] Discover, Classify, and Label Sensitive Data: Purview","[SEC-DP] Data Protection — MCSB v2","MCSB-v2; DP; v3; v2-paired; azure-infra-sec",,Assess DP-1 controls for Microsoft Purview: data catalog scan coverage (Storage; SQL; Synapse; ADLS); classification rules; sensitive data discovery; DLP policy enforcement; insider risk management.
User Story,"[SEC-DP-1] Discover, Classify, and Label Sensitive Data: Data Share","[SEC-DP] Data Protection — MCSB v2","MCSB-v2; DP; v3; v2-paired; azure-infra-sec",,Assess DP-1 controls for Azure Data Share: data classification before sharing; recipient identity validation; snapshot access review; shared dataset sensitivity labeling.
User Story,"[SEC-DP-2] Monitor Anomalies and Threats Targeting Sensitive Data: Data Explorer","[SEC-DP] Data Protection — MCSB v2","MCSB-v2; DP; v3; v2-paired; azure-infra-sec",,Assess DP-2 controls for Azure Data Explorer: anomalous query detection via Defender for Databases; row-level security on sensitive tables; query audit logging to Log Analytics; access pattern baselining.
User Story,"[SEC-DP-2] Monitor Anomalies and Threats Targeting Sensitive Data: OpenAI","[SEC-DP] Data Protection — MCSB v2","MCSB-v2; DP; v3; v2-paired; azure-infra-sec",,Assess DP-2 controls for Azure OpenAI: content filtering enabled (all harm categories); data exfiltration via model responses monitored; input/output logging to Log Analytics; managed identity auth (no API keys in code).
User Story,"[SEC-DP-2] Monitor Anomalies and Threats Targeting Sensitive Data: Intelligent Recommendations","[SEC-DP] Data Protection — MCSB v2","MCSB-v2; DP; v3; v2-paired; azure-infra-sec",,Assess DP-2 controls for Intelligent Recommendations: data access audit logging; managed identity for model training data access; anomalous recommendation pattern monitoring; no PII in recommendation metadata.
User Story,"[SEC-DP-3] Encrypt Sensitive Data in Transit: Database for MariaDB","[SEC-DP] Data Protection — MCSB v2","MCSB-v2; DP; v3; v2-paired; azure-infra-sec",,Assess DP-3 controls for Azure Database for MariaDB: TLS 1.2 minimum enforced (ssl_enforce_enabled=ON); disable non-SSL connections; certificate pinning for client connections; TLS version audit via Policy.
User Story,"[SEC-DP-3] Encrypt Sensitive Data in Transit: Database for MySQL Flexible Server","[SEC-DP] Data Protection — MCSB v2","MCSB-v2; DP; v3; v2-paired; azure-infra-sec",,Assess DP-3 controls for Azure Database for MySQL Flexible Server: TLS 1.2+ required; disable unencrypted connections; HTTPS-only connection strings; minimal TLS version parameter audit.
User Story,"[SEC-DP-3] Encrypt Sensitive Data in Transit: Database for PostgreSQL Flexible Server","[SEC-DP] Data Protection — MCSB v2","MCSB-v2; DP; v3; v2-paired; azure-infra-sec",,Assess DP-3 controls for PostgreSQL Flexible Server: TLS minimum version enforced; ssl_mode=REQUIRE; disable plaintext connections; certificate validation on client side.
User Story,"[SEC-DP-3] Encrypt Sensitive Data in Transit: Cosmos DB for PostgreSQL","[SEC-DP] Data Protection — MCSB v2","MCSB-v2; DP; v3; v2-paired; azure-infra-sec",,Assess DP-3 controls for Cosmos DB for PostgreSQL: TLS 1.2 enforcement; SSL required for all client connections; certificate validation; no plaintext PostgreSQL wire protocol connections.
User Story,"[SEC-DP-3] Encrypt Sensitive Data in Transit: Stream Analytics","[SEC-DP] Data Protection — MCSB v2","MCSB-v2; DP; v3; v2-paired; azure-infra-sec",,Assess DP-3 controls for Stream Analytics: TLS for all input/output connections (Event Hub; Service Bus; SQL; Storage); managed identity for source/sink auth; no plaintext credentials in job configuration.
User Story,"[SEC-DP-3] Encrypt Sensitive Data in Transit: Media Services","[SEC-DP] Data Protection — MCSB v2","MCSB-v2; DP; v3; v2-paired; azure-infra-sec",,Assess DP-3 controls for Azure Media Services: HTTPS-only streaming delivery; DRM for content protection; managed identity for storage access; TLS for live encoder ingest connections.
User Story,"[SEC-DP-4] Enable Data at Rest Encryption by Default: Storage","[SEC-DP] Data Protection — MCSB v2","MCSB-v2; DP; v3; v2-paired; azure-infra-sec",,Assess DP-4 controls for Azure Storage: AES-256 encryption at rest; CMK option assessment; disable allow-blob-public-access; infrastructure encryption for Confidential data; immutability for compliance tiers.
User Story,"[SEC-DP-4] Enable Data at Rest Encryption by Default: SQL","[SEC-DP] Data Protection — MCSB v2","MCSB-v2; DP; v3; v2-paired; azure-infra-sec",,Assess DP-4 controls for Azure SQL Database: TDE with PMK default or CMK review; SQL Auditing enabled → Log Analytics; Always Encrypted for highly sensitive columns; no unencrypted database exports.
User Story,"[SEC-DP-4] Enable Data at Rest Encryption by Default: SQL IaaS","[SEC-DP] Data Protection — MCSB v2","MCSB-v2; DP; v3; v2-paired; azure-infra-sec",,Assess DP-4 controls for SQL Server on Azure VMs: Azure Disk Encryption on VM disks; TDE on SQL databases; encrypted backups; Key Vault for encryption key management.
User Story,"[SEC-DP-4] Enable Data at Rest Encryption by Default: Analysis Services","[SEC-DP] Data Protection — MCSB v2","MCSB-v2; DP; v3; v2-paired; azure-infra-sec",,Assess DP-4 controls for Azure Analysis Services: model data encrypted at rest; managed identity for data source connections; row-level security on sensitive models; audit logging.
User Story,"[SEC-DP-4] Enable Data at Rest Encryption by Default: App Configuration","[SEC-DP] Data Protection — MCSB v2","MCSB-v2; DP; v3; v2-paired; azure-infra-sec",,Assess DP-4 controls for Azure App Configuration: encryption at rest (default AES-256); CMK for Confidential/Restricted configurations; managed identity access; private endpoint.
User Story,"[SEC-DP-4] Enable Data at Rest Encryption by Default: Center for SAP Solutions","[SEC-DP] Data Protection — MCSB v2","MCSB-v2; DP; v3; v2-paired; azure-infra-sec",,Assess DP-4 controls for Center for SAP Solutions: SAP HANA encryption at rest; managed disk encryption on all SAP VMs; backup encryption via Azure Backup CMK; data classification for SAP landscape.
User Story,"[SEC-DP-4] Enable Data at Rest Encryption by Default: Data Lake Analytics","[SEC-DP] Data Protection — MCSB v2","MCSB-v2; DP; v3; v2-paired; azure-infra-sec",,Assess DP-4 controls for Azure Data Lake Analytics: ADLS Gen1 encryption at rest (HSM-backed keys); job data encryption; managed identity for compute-to-storage access; no unencrypted job output storage.
